,Tác giả,Nhà Xuất Bản,Nhà xuất bản,Kích thước,Ảnh bìa,Số trang,Phiên bản,Nội dung tóm tắt,Loại bìa,Loại sản phẩm,Dịch giả,Giá bìa,Ngày xuất bản,Thể loại,Tên Sách,Nhà Phát Hành,Dịch Giả,Công ty phát hành
1353,Sara Imas,,,,https://salt.tikicdn.com/cache/280x280/ts/product/51/53/26/8c4cdb93a65536684ace12d8bc66fe54.jpg,,,"Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương là chấp bút của một bà mẹ Do Thái sinh ra và lớn lên ở Thượng Hải, đã bồi dưỡng con cái của mình trở thành triệu phú.Do Thái là một dân tộc huyền bí, từng xuất hi...",Bìa mềm,,,176000.0,,Cẩm nang làm cha mẹ,Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương - Tập 1 (Tái Bản) (Tặng kèm TickBook),,,Alphabooks
1354,Yoshihiko Morotomi,,Nhà Xuất Bản Dân Trí,,https://salt.tikicdn.com/cache/280x280/ts/product/a7/7f/93/75a14e8f6f41dc88f5f8719b30f3cb68.jpg,,,"Ngay từ bìa sách với dòng tagline - Con Dùng Điện Thoại hay Điện Thoại Dùng Con, quyển sách đã nhấn mạnh tình trạng lệ thuộc vào điện thoại thông minh ở giới trẻ.    Vấn nạn trẻ ngày càng dành n...",,,,75000.0,,Cẩm nang làm cha mẹ,Nuôi Dạy Trẻ Không Trở Thành Nô Lệ Của Điện Thoại Thông Minh,,,Tân Việt
1355,Masanobu Takahama,,Nhà Xuất Bản Phụ Nữ,14.5 x 20.5 cm,https://salt.tikicdn.com/cache/280x280/ts/product/7d/8a/bb/38ed36247d9efec1abe1cc46f62e3a17.jpg,212.0,,"Các bậc phụ huynh có con trong độ tuổi Tiểu học hẳn đều trăn trở rất nhiều về vấn để học hành của con. “ Vì sao cứ đến phép trừ có nhớ là con lại lúng túng? “ , “ Vì sao con không thể diễn đạt được cả...",Bìa mềm,,,72000.0,2019-11-01 00:00:00,Cẩm nang làm cha mẹ,Để Việc Học Không Làm Khó Trẻ - Phương Pháp Bồi Dưỡng Năng Lực Học Tập Đặc Biệt Từ Chuyên Gia Nhật Bản,,,Minh Long
1356,Thôi Hoa Phương,,Nhà Xuất Bản Hồng Bàng,16 x 23 cm,https://salt.tikicdn.com/cache/280x280/media/catalog/product/c/h/cha-me-la-nguoi-thay-dau-tien-tot-nhat_1.jpg,,,"Cha Mẹ Là Người Thầy Đầu Tiên Tốt Nhất Mọi đứa trẻ khi mới sinh ra đều như nhau, nhưng tại sao có trẻ sau này trở thành những bậc anh tài, trong khi có trẻ lại chỉ trở thành những người bình thường, ...",Bìa mềm,,,80000.0,2013-04-15 00:00:00,Cẩm nang làm cha mẹ,Cha Mẹ Là Người Thầy Đầu Tiên Tốt Nhất,,,Minh Long
1357,Sara Imas,,,,https://salt.tikicdn.com/cache/280x280/ts/product/e1/e4/91/3ce87224e370c5f0f5b3e37e603b9c80.jpg,,,"Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương là cuốn sách nuôi dạy con của một bà mẹ Do Thái sinh ra và lớn lên ở Trung Quốc, đã giáo dục con của mình trở thành triệu phú. Do Thái là một dân tộc huyền bí, từ...",Bìa mềm,,,208000.0,,Cẩm nang làm cha mẹ,"Trọn Bộ Sách Kinh Điển Về Giáo Dục Con Cái ( Vô Cùng Tàn Nhẫn, Vô Cùng Yêu Thương Tập 1 + Tập 2 ) ( Quà Tặng: Cây Viết Kute' )",,,Alphabooks
1358,"Ngô Cam Lâm,Đặng Tiểu Lan",,Nhà Xuất Bản Lao Động,15 x23 cm,https://salt.tikicdn.com/cache/280x280/ts/product/05/6b/43/f9676ebfbfa6788827cf10f4e7f12356.jpg,368.0,,"Quá trình trưởng thành của trẻ là một bài kiểm tra đối với sự thông thái của cha mẹ. Trở thành một phụ huynh tốt là điều không hề dễ dàng, không phải cứ tận tâm tận lực, chịu khó chịu khổ là được, mà ...",Bìa mềm,,,111300.0,2020-08-01 00:00:00,Cẩm nang làm cha mẹ,Cha Mẹ Khôn Khéo Không Thiếu Mưu Mẹo,,Phạm Thị Thanh Vân,Alphabooks
1359,Trung tâm Sáng tạo Thiếu nhi Mộc Đầu Nhân,,,20.5 x 25.5 cm,https://salt.tikicdn.com/cache/280x280/ts/product/71/66/93/9fdd78617c97aad2e939d46b7623b49d.jpg,36.0,,"Giáo dục giới tính và nhân cách dành cho bé gái là bộ sách rất bổ ích, giúp các bé gái có hành vi, ngôn ngữ, cử chỉ đúng mực, biết đoàn kết yêu thương chia sẻ với mọi người. Đặc biệt, thông qua bộ sác...",Bìa mềm,,,25600.0,2018-12-01 00:00:00,Cẩm nang làm cha mẹ,"Giáo Dục Giới Tính Và Nhân Cách Dành Cho Bé Gái - Tớ Là Cô Bé Đáng Yêu (Dạy Trẻ Sống Đoàn Kết, Yêu Thương, Biết Chia Sẻ)",,,Đinh Tị
1360,Nhiều Tác Giả,,Nhà Xuất Bản Hồng Bàng,,https://salt.tikicdn.com/cache/280x280/ts/product/7a/5b/02/197ec3ea4a4d6b77be38048dcb21c90c.jpg,,,Combo Sách Nuôi Dạy Con: Phương Pháp Giáo Dục Con Của Người Do Thái + Dạy Con Theo Lối Mới - Phương Pháp Dạy Con Hiện Đại (Tặng Bookmark Phương Đông) là combo tuyệt vời dành cho những bậc cha mẹ. Bộ s...,Bìa mềm,,,162000.0,,Cẩm nang làm cha mẹ,Combo Sách Nuôi Dạy Con: Phương Pháp Giáo Dục Con Của Người Do Thái + Dạy Con Theo Lối Mới - Phương Pháp Dạy Con Hiện Đại (Tặng Bookmark PĐ),,,Nhiều công ty phát hành
1361,MIKI KANO,,,13.5 x 20.5 cm,https://salt.tikicdn.com/cache/280x280/ts/product/b8/73/68/52bbb9779a66a904664aacae078b6c34.jpg,184.0,,"Cuộc sống thường nhật chính là khi tàng cơ hội nâng cao khả năng tư duy của trẻ. Những lúc trẻ hỏi bố mẹ: “ Tại sao phải làm việc đó” ,” Tại sao lại như thế” , lúc trẻ tranh cãi với bạn bè, lúc muốn n...",Bìa mềm,,,60000.0,2019-09-01 00:00:00,Cẩm nang làm cha mẹ,Nói Mẹ Nghe Nào - Trò Chuyện Như Mẹ Nhật Giúp Con Phát Triển Tư Duy,,,Minh Long
1362,Đào Thị Hải Yến,,,16 x 24 cm,https://salt.tikicdn.com/cache/280x280/media/catalog/product/m/t/mt10.u335.d20160808.t133811.855572_1.png,400.0,,"Dạy Con Thông Minh Qua Các Trò Chơi Vui chơi có lợi trong quá trình nuôi dưỡng tính cách, tình cảm, tâm hồn lành mạnh của trẻ. Thông qua các trò chơi, sự tiếp xúc giữa trẻ tăng lên, trẻ trở nên năng ...",Bìa mềm,,,80750.0,2016-08-08 00:00:00,Cẩm nang làm cha mẹ,Dạy Con Thông Minh Qua Các Trò Chơi,,,Nhà sách Minh Thắng
1363,"Sue Graves,Desideria Guicciardini",,Nhà Xuất Bản Dân Trí,20 x 23 cm,https://salt.tikicdn.com/cache/280x280/ts/product/03/c9/77/4a834c98ae7ef1d1176ec860729392a8.jpg,32.0,,            Hiểu Về Cảm Xúc Và Hành Vi Của Trẻ - Con Chẳng Vui Tí Nào! (Hiểu Và Giúp Trẻ Xua Tan Nỗi Buồn)        Trẻ em cũng có những lúc không vui. Nguồn cơn có thể là bất cứ điều gì: đồ chơi ...,Bìa mềm,,,34300.0,2018-01-01 00:00:00,Cẩm nang làm cha mẹ,Hiểu Về Cảm Xúc Và Hành Vi Của Trẻ - Con Chẳng Vui Tí Nào! (Hiểu Và Giúp Trẻ Xua Tan Nỗi Buồn),,Hà Hương Giang,Alphabooks
1364,Nhiều Tác Giả,,Nhà Xuất Bản Lao Động,13 x 20.5 cm,https://salt.tikicdn.com/cache/280x280/ts/product/3b/f4/40/9155d8c4dcec32fa035fc2516edc90b7.jpg,,,"Đối với rất nhiều cô gái, việc nói chuyện về vấn đề kinh nguyệt khá là xấu hổ. Thậm chí ngay cả đối với mẹ của mình cũng rất khó để cất lời.Có rất nhiều điều muốn biết nhưng không biết phải hỏi như t...",Bìa mềm,,,179000.0,2020-02-02 00:00:00,Cẩm nang làm cha mẹ,"Combo Tuổi Dậy Thì Nói Gì Với Con + Nổi Loạn Tuổi Teen + Chào Tuổi ""Dâu Rụng"" (3 Cuốn)",,,Thái Hà
1365,Sean Covey,,,,https://salt.tikicdn.com/cache/280x280/ts/product/e3/50/5c/62299e9a201b2946e23907159bf81808.jpg,,,Cuốn Sách Song Ngữ Nuôi Dạy Con Cực Hay Dành Cho Các Mẹ: 7 Thói Quen Để Trẻ Hạnh Phúc / Sách Làm Cha Mẹ Giỏi (Tặng Kèm Poster An Toàn Cho Con Yêu)Tập cho con có những thói quen tốt đó là cách để các ...,Bìa mềm,,,101000.0,,Cẩm nang làm cha mẹ,Cuốn Sách Song Ngữ Nuôi Dạy Con Cực Hay Dành Cho Các Mẹ: 7 Thói Quen Để Trẻ Hạnh Phúc / Sách Làm Cha Mẹ Giỏi (Tặng Kèm Poster An Toàn Cho Con Yêu),,,First News - Trí Việt
1366,Nguyễn Thị Ninh,,Nhà Xuất Bản Thế Giới,,https://salt.tikicdn.com/cache/280x280/ts/product/17/eb/53/e27ea8d2e09deb0bc81a939f71b33f07.jpg,,,       THÔNG TIN CHI TIẾT   Tác giả Nguyễn Thị Ninh   Năm xuất bản 2018   Kích thước 14.5 x 20.5 cm   Nhà xuất bản Nhà Xuất Bản Thế Giới   Loại bìa Bìa mềm   Số trang 228   GIỚI THIỆU SÁCH...,,,,101000.0,,Cẩm nang làm cha mẹ,"Sách - Mẹ Ăn Ngon, Con Mạnh Khỏe (tặng kèm bookmark thiết kế)",,,Nhã Nam 
1367,Nhiều Tác Giả,,,,https://salt.tikicdn.com/cache/280x280/ts/product/4d/6f/30/f0e98b2969d2c9ae2f92e8f27f7d46e4.jpg,,,"Chúng tôi xin gửi đến cho các bạn 2 cuốn sách hay dành cho các bậc làm cha mẹ.Mẹ Nhật Thai Giáo“Cảm ơn con vì đã chọn bố mẹ trong số hàng triệu triệu cặp đôi trên thế giới này”, “Cảm ơn con đã đến đ...",Bìa mềm,,,122500.0,,Cẩm nang làm cha mẹ,Combo 2 cuốn Mẹ Nhật Thai Giáo +  Dạy Con Kiểu Nhật - Giai Đoạn Trẻ 0 Tuổi(Tặng kèm bookmark),,,Thái Hà
1368,Lê Thị Phương Nga,,Nhà Xuất Bản Phụ Nữ,14.5 x 20.5 cm,https://salt.tikicdn.com/cache/280x280/media/catalog/product/l/a/lam-ban-voi-con-tai-sao-khong-a_2.jpg,140.0,,"Chat Về ""Nghề"" Làm Cha Mẹ - Làm Bạn Với Con, Tại Sao Không? Khi cần hiểu về con mình, hoặc khi bất thình lình gặp rắc rối muốn tự kiểm về cách hành xử với con, bạn có thể mở cuốn sách này ra để tham ...",Bìa mềm,,,35000.0,2013-07-21 00:00:00,Cẩm nang làm cha mẹ,"Chat Về ""Nghề"" Làm Cha Mẹ - Làm Bạn Với Con, Tại Sao Không?",,,NXB Phụ Nữ Việt Nam
1369,Denise Schipani,,,,https://salt.tikicdn.com/cache/280x280/ts/product/13/f7/ce/2a53ba8234e487638eec062feb4b2a96.jpg,368.0,,Thế nào là một bà mẹ nghiêm khắc? Đó là bà mẹ luôn kiên định. Đó là bà mẹ luôn tin tưởng vào chính mình. Đó là bà mẹ không chạy theo số đông. Đó là bà mẹ luôn khiến con gặp một chút thất bại mỗi ngày....,Bìa mềm,,,95200.0,2018-01-13 00:00:00,Cẩm nang làm cha mẹ,Mẹ Nghiêm Khắc Dạy Con Tự Lập,,,1980 Books
1370,Amber Hatch,,,,https://salt.tikicdn.com/cache/280x280/ts/product/cd/dc/e5/6e9b4ad7cc3ec528753ebdcf40aa3b6b.jpg,,,Cuốn Sách Làm Cha Mẹ Tuyệt Vời: Dạy Con Trong Chánh NiệmCuốn sách này dành cho những người quan tâm tới việc thực hành chánh niệm trong khi nuôi dạy trẻ. Cuốn sách này chủ yếu dành cho các bậc ...,Bìa mềm,,,89500.0,,Cẩm nang làm cha mẹ,Cuốn Sách Làm Cha Mẹ Tuyệt Vời: Dạy Con Trong Chánh Niệm,,,Thái Hà
1371,Sugahara Yuko,,Nhà Xuất Bản Lao Động,13 x 19 cm,https://salt.tikicdn.com/cache/280x280/ts/product/8a/51/5f/f6a4abbffbd944466410aab94d0a8f2f.jpg,232.0,,"Mẹ Nhật Truyền Cảm Hứng Học Cho Con Như Thế Nào? (Tủ Sách Cha Mẹ Giỏi, Con Thông Minh) - Tái Bản 2018 Bất cứ người cha, người mẹ nào cũng mong muốn điều tốt nhất cho con nên mới khuyến khích, bảo b...",Bìa mềm,,,62300.0,2018-03-03 00:00:00,Cẩm nang làm cha mẹ,"Mẹ Nhật Truyền Cảm Hứng Học Cho Con Như Thế Nào? (Tủ Sách Cha Mẹ Giỏi, Con Thông Minh) - Tái Bản 2018",,Nguyễn Thị Thu Thủy,Alphabooks
1372," Minh Tâm, Điển Dũng, Điển Dũng ,Dương Hà",,,,https://salt.tikicdn.com/cache/280x280/ts/product/a1/88/9d/01996bade54518c06bbdbe6bbb7710b4.jpg,,,"Bộ sách HƯỚNG DẪN THỰC HÀNH KĨ NĂNG SỐNG THEO PHƯƠNG PHÁP MONTESSORI được biên soạn phù hợp với các bé. Bằng các hình minh họa trực quan sinh động có màu sắc hài hòa, nội dung giản dị, dễ hi...",,,,15810.0,,Cẩm nang làm cha mẹ,Hướng Dẫn Thực Hành Kĩ Năng Sống Theo Phương Pháp Montessori - Dậy Nào Bé Ơi,,,NXB Văn Học
1373,Nhiều Tác Giả,,,,https://salt.tikicdn.com/cache/280x280/ts/product/5c/05/c9/47c0ab94a3ad56f80b30222e11d91634.jpg,,,Combo 2 Cuốn Sách Nuôi Dạy Con Hay Của Mẹ Nhật Và Mẹ Do Thái: Bí Mật Người Do Thái Dạy Con Làm Giàu (Tái Bản 2017) + Cha Mẹ Nhật Dạy Con Tự Lập / Sách Làm Cha Mẹ Giỏi (Tặng Kèm Poster An Toàn Cho Con...,Bìa mềm,,,159000.0,,Cẩm nang làm cha mẹ,Combo 2 Cuốn Sách Nuôi Dạy Con Hay Của Mẹ Nhật Và Mẹ Do Thái: Bí Mật Người Do Thái Dạy Con Làm Giàu (Tái Bản 2017) + Cha Mẹ Nhật Dạy Con Tự Lập / Sách Làm Cha Mẹ Giỏi (Tặng Kèm Poster An Toàn Cho Con Yêu),,,Nhiều công ty phát hành
1374,Sarah Turner,,,14 x 20.5 cm,https://salt.tikicdn.com/cache/280x280/ts/product/8d/39/fd/6096c0067f8fe90437098886aa7e1d07.jpg,396.0,,"            Mẹ Đoảng - Những Nốt Thăng Hài Hước Và Nốt Trầm Cảm Xúc Khi Làm Mẹ        “Trước đây, tôi chưa bao giờ hình dùng về việc mình sẽ trở thành một người mẹ như thế nào. Tôi không quá yêu...",Bìa mềm,,,87200.0,2017-12-07 17:44:54,Cẩm nang làm cha mẹ,Mẹ Đoảng - Những Nốt Thăng Hài Hước Và Nốt Trầm Cảm Xúc Khi Làm Mẹ,,Trần Hồng Hạnh,Nhã Nam
1375,Sara Imas,,,,https://salt.tikicdn.com/cache/280x280/ts/product/e1/e4/91/68013f4c39f1259078c22f0b0da2607c.jpg,,,"Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương là cuốn sách nuôi dạy con của một bà mẹ Do Thái sinh ra và lớn lên ở Trung Quốc, đã giáo dục con của mình trở thành triệu phú. Do Thái là một dân tộc huyền bí, từ...",Bìa mềm,,,208000.0,,Cẩm nang làm cha mẹ,"Trọn Bộ Sách Kinh Điển Về Giáo Dục Con Cái ( Vô Cùng Tàn Nhẫn, Vô Cùng Yêu Thương Tập 1 + Tập 2 ) (Quà Tặng: Cây Viết Galaxy )",,,Alphabooks
1376,Dương Thanh Nga,,Nhà Xuất Bản Văn Học,13 x 20.5 cm ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/i/bia-mesekodeconolai.u547.d20161213.t092539.378308.jpg,232.0,,"Mẹ Sẽ Không Để Con Ở Lại Sách ""Mẹ sẽ không để con ở lại!"" của nữ tác giả Dương Thanh Nga là tập hợp những bài viết sinh động, thiết thực từ những chuyến đi, những trải nghiệm hoàn toàn là sự thật của...",Bìa mềm,,,87000.0,2016-12-13 00:00:00,Cẩm nang làm cha mẹ,Mẹ Sẽ Không Để Con Ở Lại,,,Minh Châu Books
1377,Thanh Giang,,Nhà Xuất Bản Phụ Nữ,,https://salt.tikicdn.com/cache/280x280/ts/product/08/99/ee/7bded07f73a7d0df583998cf46179cbb.jpg,,,"Mẹ hãy chia sẻ với con gái bài học kinh nghiệm về thời dậy thì của chính mình.   Mẹ nên là người bạn của con gái, cùng con mua sắm những vật dụng thiết yếu và có những chỉ dẫn hợp lý cho con.   Mẹ h...",,,,35200.0,,Cẩm nang làm cha mẹ,10 Bức Thư Mẹ Gửi Con Gái Tuổi Dậy Thì (Tái Bản 2019),,,Phụ Nữ
1378,Nhiều Tác Giả,,,<p>25x20cm</p>,https://salt.tikicdn.com/cache/280x280/ts/product/a3/0a/4d/33735aa3a141fff77f51f2c204335dfe.png,,,"Bác Sĩ Riêng Của Bé Yêu - Bước Đệm Vững Chắc Vào Đời  Như tên gọi, đây là quyển sách giúp các bậc cha mẹ, ông bà có con, cháu trong độ tuổi từ 6 đến 12 tháng (hoặc lớn hơn) có thể c...",Bìa mềm,,,157003.0,,Cẩm nang làm cha mẹ,Combo: Bác Sĩ Riêng Của Bé Yêu - Bước Đệm Vững Chắc Vào Đời (Bác Sĩ Huyên Thảo) + Chat Với Bác Sĩ - Bác Sĩ Riêng Của Bé Yêu,,,Thái Hà
1379,Vivo V3,,,14.5 x 20.5 cm,https://salt.tikicdn.com/cache/280x280/ts/product/46/74/15/01465460291da81a37f07c458894a94d.jpg,312.0,,  Mẹ Các Nước Dạy Con Trưởng Thành - Mẹ Mỹ Dạy Con Tự Tin (Tái Bản 2018)Sự tự tin là chìa khóa dẫn đến thành công theo quan điểm giáo dục của người Mỹ.Hãy đọc cuốn “Mẹ Mỹ dạy con tự tin” để có đượ...,Bìa mềm,,,59000.0,2018-09-01 00:00:00,Cẩm nang làm cha mẹ,Mẹ Các Nước Dạy Con Trưởng Thành - Mẹ Mỹ Dạy Con Tự Tin (Tái Bản 2018),,,Nhà Xuất Bản Kim Đồng
1380,Sách ơi mở ra - Dự án trẻ em viết cho trẻ em,,Nhà Xuất Bản Hà Nội,<p>14 x 20 cm</p>,https://salt.tikicdn.com/cache/280x280/ts/product/ec/a8/ce/f80c5c093fc6a3d9200377a9338058fd.jpg,124.0,,"Có lẽ các bạn biết rồi, trẻ con và người lớn là hai “loài” khác biệt. Trẻ con không phải người lớn và người lớn cũng vậy, không còn là trẻ con. Có một đặc quyền của trẻ nhỏ mà những người lớn thích ho...",Bìa mềm,,,69000.0,2019-03-19 15:26:15,Cẩm nang làm cha mẹ,10 Ngày Ngắm Thế Giới Của Mắt Nhắm Tịt ,,,Thái Hà
1381,Violet Giannone,,,15 x 23 cm,https://salt.tikicdn.com/cache/280x280/ts/product/49/fe/5f/f2a8bfcde8015b3cc2c1db6fbc1c6aeb.jpg,168.0,,Bạn đang THIẾU NGỦ suốt một thời gian dài vì con quấy khóc?Con bạn BÚ ĐÊM!Con bạn cần bạn ôm ấp mới có thể đi vào giấc ngủ?Bạn đang VÔ CÙNG MỆT MỎI trong việc tìm giải pháp ngủ cho con?Cuốn sách n...,Bìa mềm,,,76800.0,2019-03-19 00:00:00,Cẩm nang làm cha mẹ,7 ngày thiết lập nếp ngủ cho con yêu,,,SkyKids
1382,Sue Graves,,Nhà Xuất Bản Dân Trí,20 x 23 cm,https://salt.tikicdn.com/cache/280x280/ts/product/12/57/df/39c1080f697a39f52efcd9b5a2c634db.jpg,32.0,,Đôi khi một đứa trẻ đơn thuần lại có nhiều cảm xúc hơn ta tưởng. Có những cảm xúc bộc lộ ra ngoài qua các hành vi hoặc trực tiếp qua lời nói. Có những cảm xúc lại bị trẻ giấu kín. Cảm xúc cũng ảnh hưở...,Bìa mềm,,,34300.0,2021-01-12 00:00:00,Cẩm nang làm cha mẹ,Hiểu Về Cảm Xúc Và Hành Vi Của Trẻ - Nhưng Nhỡ Thế Thì Sao (Hiểu Và Giúp Trẻ Vượt Qua Nỗi Lo),,Hà Hương Giang,Alphabooks
1383,Diệu Hoa,,,,https://salt.tikicdn.com/cache/280x280/ts/product/9b/9a/30/6b7486b2e4f64a5d1fc7f8b3258bf3ce.jpg,,,NGHE MẸ NÓI NÀY CON GÁIMã sản phẩm: 8936067591262Tác giả : tacgia_Diêu HoaNXB: Văn hóa thông tinKích thước : 16 x 23 cmNăm xuất bản : 2016Số trang : 208Khối lượng : 240 gramsBìa : MềmXã hội thời @ bày...,,,,44000.0,,Cẩm nang làm cha mẹ,SÁCH - NGHE MẸ NÓI NÀY CON GÁI,,,Minh Long
1384,Sara Imas,,,,https://salt.tikicdn.com/cache/280x280/ts/product/51/53/26/8c4cdb93a65536684ace12d8bc66fe54.jpg,,,"Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương là chấp bút của một bà mẹ Do Thái sinh ra và lớn lên ở Thượng Hải, đã bồi dưỡng con cái của mình trở thành triệu phú.Do Thái là một dân tộc huyền bí, từng xuất hi...",Bìa mềm,,,176000.0,,Cẩm nang làm cha mẹ,Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương - Tập 1 (Tái Bản) (Tặng kèm TickBook),,,Alphabooks
1385,Masanobu Takahama,,Nhà Xuất Bản Phụ Nữ,14.5 x 20.5 cm,https://salt.tikicdn.com/cache/280x280/ts/product/7d/8a/bb/38ed36247d9efec1abe1cc46f62e3a17.jpg,212.0,,"Các bậc phụ huynh có con trong độ tuổi Tiểu học hẳn đều trăn trở rất nhiều về vấn để học hành của con. “ Vì sao cứ đến phép trừ có nhớ là con lại lúng túng? “ , “ Vì sao con không thể diễn đạt được cả...",Bìa mềm,,,72000.0,2019-11-01 00:00:00,Cẩm nang làm cha mẹ,Để Việc Học Không Làm Khó Trẻ - Phương Pháp Bồi Dưỡng Năng Lực Học Tập Đặc Biệt Từ Chuyên Gia Nhật Bản,,,Minh Long
1386,Adele Faber,,Nhà Xuất Bản Thế Giới,,https://salt.tikicdn.com/cache/280x280/ts/product/7d/54/b3/4dbecd96d4e92bb04286c0e62b0dea32.jpg,337.0,,    Nói Sao Cho Trẻ Chịu Học Ở Nhà Và Ở Trường (Tái bản năm 2018)      Nhà xuất bản : Nhà Xuất Bản Thế Giới.  Công ty phát hành : Phương Nam Book.  Tác giả : Adele Faber.  Kích thước : 13 x 2...,Bìa mềm,,,113400.0,2018-09-03 00:00:00,Cẩm nang làm cha mẹ,Sách Nói Sao Cho Trẻ Chịu Học Ở Nhà Và Ở Trường (Tái bản năm 2018),,,Phương Nam Book
1387,Thôi Hoa Phương,,Nhà Xuất Bản Hồng Bàng,16 x 23 cm,https://salt.tikicdn.com/cache/280x280/media/catalog/product/c/h/cha-me-la-nguoi-thay-dau-tien-tot-nhat_1.jpg,,,"Cha Mẹ Là Người Thầy Đầu Tiên Tốt Nhất Mọi đứa trẻ khi mới sinh ra đều như nhau, nhưng tại sao có trẻ sau này trở thành những bậc anh tài, trong khi có trẻ lại chỉ trở thành những người bình thường, ...",Bìa mềm,,,80000.0,2013-04-15 00:00:00,Cẩm nang làm cha mẹ,Cha Mẹ Là Người Thầy Đầu Tiên Tốt Nhất,,,Minh Long
1388,"Sara Imas,Mẹ Xu-Sim",,Nhà Xuất Bản Văn Học,,https://salt.tikicdn.com/cache/280x280/ts/product/82/81/79/37f9d6d4adf28529b8343a2aaa6b3875.jpg,,,"Combo 3 cuốn Nuôi dạy con tự lập: Con Nghĩ Đi, Mẹ Không Biết + Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương (Tập 1 + 2) - Tặng Kèm Bookmark Happy Life Đây là combo những quyển sách của các giá trị tình thân ...",Bìa mềm,,,366000.0,,Cẩm nang làm cha mẹ,"Combo 3 cuốn Nuôi dạy con tự lập: Con Nghĩ Đi, Mẹ Không Biết + Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương (Tập 1 + 2) - Tặng Kèm Bookmark Happy Life",,,Alphabooks
1389,"Deb Norton,Paul Noel",,Nhà Xuất Bản Phụ Nữ Việt Nam,,https://salt.tikicdn.com/cache/280x280/ts/product/5d/bf/50/f34fe48b3e7176d0e083636198a6ba79.jpg,,Mới,"BÌNH TĨNH RÈN CON – CHIẾN LƯỢC GIÚP TRẺ HỌC HÀNH BÌNH TĨNH HƠN, THƯ THÁI HƠN, HẠNH PHÚC HƠN với các chiến thuật áp dụng “kỷ luật mềm không nước mắt”:- Khen-ngợi-mô-tả-cụ-thể- Lắng-nghe-thấu-đáo- Ch...",Bìa mềm,,,429300.0,,Cẩm nang làm cha mẹ,"Bộ sách Bình tĩnh rèn con - Bình tĩnh hơn, thư thái hơn, hạnh phúc hơn: Bộ 4 cuốn",,"Thủy Hoàng, Lê Thu Ngọc",NXB Phụ Nữ Việt Nam
1390,Dr. Kenvin Leman,,,13.5 x 21 cm,https://salt.tikicdn.com/cache/280x280/ts/product/0c/91/b7/79598daf8ea22c53297c0d4818d8f380.jpg,199.0,,Điều Khác Biệt Cha Tạo Ra Cho Con GáiCác nghiên cứu trên thế giới đã chỉ ra rằng cha là người dẫn đường cho sự thành công của con gái. Sự gắn kết của cha với con gái – cho dù ông sống hay không cùng ...,Bìa mềm,,,60000.0,2018-02-01 00:00:00,Cẩm nang làm cha mẹ,Điều Khác Biệt Cha Tạo Ra Cho Con Gái,,Nguyễn Tư Thắng,VanLangBooks
1391,Yoshihiko Morotomi,,Nhà Xuất Bản Dân Trí,,https://salt.tikicdn.com/cache/280x280/ts/product/a7/7f/93/75a14e8f6f41dc88f5f8719b30f3cb68.jpg,,,"Ngay từ bìa sách với dòng tagline - Con Dùng Điện Thoại hay Điện Thoại Dùng Con, quyển sách đã nhấn mạnh tình trạng lệ thuộc vào điện thoại thông minh ở giới trẻ.    Vấn nạn trẻ ngày càng dành n...",,,,75000.0,,Cẩm nang làm cha mẹ,Nuôi Dạy Trẻ Không Trở Thành Nô Lệ Của Điện Thoại Thông Minh,,,Tân Việt
1392,"Ngô Cam Lâm,Đặng Tiểu Lan",,Nhà Xuất Bản Lao Động,15 x23 cm,https://salt.tikicdn.com/cache/280x280/ts/product/05/6b/43/f9676ebfbfa6788827cf10f4e7f12356.jpg,368.0,,"Quá trình trưởng thành của trẻ là một bài kiểm tra đối với sự thông thái của cha mẹ. Trở thành một phụ huynh tốt là điều không hề dễ dàng, không phải cứ tận tâm tận lực, chịu khó chịu khổ là được, mà ...",Bìa mềm,,,111300.0,2020-08-01 00:00:00,Cẩm nang làm cha mẹ,Cha Mẹ Khôn Khéo Không Thiếu Mưu Mẹo,,Phạm Thị Thanh Vân,Alphabooks
1393,Sara Imas,,,,https://salt.tikicdn.com/cache/280x280/ts/product/e1/e4/91/3ce87224e370c5f0f5b3e37e603b9c80.jpg,,,"Vô Cùng Tàn Nhẫn Vô Cùng Yêu Thương là cuốn sách nuôi dạy con của một bà mẹ Do Thái sinh ra và lớn lên ở Trung Quốc, đã giáo dục con của mình trở thành triệu phú. Do Thái là một dân tộc huyền bí, từ...",Bìa mềm,,,208000.0,,Cẩm nang làm cha mẹ,"Trọn Bộ Sách Kinh Điển Về Giáo Dục Con Cái ( Vô Cùng Tàn Nhẫn, Vô Cùng Yêu Thương Tập 1 + Tập 2 ) ( Quà Tặng: Cây Viết Kute' )",,,Alphabooks
