,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, người dịch, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng
402,5 Phương Trình Làm Thay Đổi Thế Giới - Sức Mạnh Và Chất Thơ Của Toán Học (Tái Bản 2018),https://www.vinabook.com/images/thumbnails/product/240x/331042_p86696mscan0001.jpg,Vật lý,,"  Thông tin tác giả    Michael Guillen     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách mô tả về năm phương trình nổi tiếng có sức chuyển động thế giới. mỗi câu chuyện gắn liền giữa cuộc đời với những nghiên cứu khoa học của 5 nhân vật, giúp ta thấy được những yếu tố đã làm nên các nhà khoa học vĩ đại và các thành tựu khoa học lớn. Đó là Albert Einstein với phương trình năng lượng; Daniel Bernoulli với phương trình thủy động lực học; Michael Faraday với phương trình điện từ trường, Isaac Newton với phương trình vạn vật hấp dẫn, Rudolf Julius Emmanuel Clausius với phương trình nhiệt động lực học – bất đẳng thức nhiệ động lực học.5 PHƯƠNG TRÌNH LÀM THAY ĐỔI THẾ GIỚI được tuần báo Publisher’s Weekly bầu chọn là cuốn sách hay nhất năm 1995 (trong số 21 cuốn sách được chọn) đà được dịch ra nhiều thứ tiếng trên thế giới như tiếng Đức, tiếng Pháp, tiếng Nhật, tiếng Bồ Đào Nha… và tiếng Việt.Mời bạn đón đọc. ",150.000,,,,,,,,,,,,, 308.00 gam , 14.5 x 20.5 cm , 8934974152460 , 03/2018 , Tiếng Việt ," Trần Quốc Túy , Phạm Vǎn Thiều ", NXB Trẻ , Nxb Trẻ , 324 , Michael Guillen , Bìa mềm 
403,Vật Lý Vui - Tập 2,https://www.vinabook.com/images/thumbnails/product/240x/323051_p85625mscan0008.jpg,Vật lý,,"  Thông tin tác giả    Yakov Perelman     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Vật lý vui - tập 2 có tính chất độc lập, không hẳn là quyển tiếp theo của Vật lý vui tập 1. Cuốn sách kích thích sự hoạt động của trí tưởng tượng khoa học, tập cho bạn đọc quen suy nghĩ theo tinh thần của khoa học vật lý và phát triển thói quen áp dụng kiến thức vào nhiều mặt hoạt động.Mời bạn đón đọc. ",120.000,,,,,,,,,,,,, 418.00 gam , 14.5 x 20.5 cm , 9786047752461 , 12/2018 , Tiếng Việt ," Lê Nguyên Long , Thế Trường ", Sputnik , Nxb Thế giới , 352 , Yakov Perelman , Bìa mềm 
404,Tại Sao Lí Thuyết Dây?,https://www.vinabook.com/images/thumbnails/product/240x/330499_p86633mscan0001.jpg,Vật lý,,"  Thông tin tác giả    Joseph Conlon     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Lí thuyết dây là nỗi ám ảnh, là niềm cảm hứng và sự đam mê của rất nhiều nhà vật lí đương đại. Rất nhiều kì vọng đã được đặt vào nó. Người ta mong nó giúp giải quyết vấn đề năng lượng cao, người ta mong giải thích được lực mạnh, người ta mong nó vượt lên trên cả thuyết lượng tử hấp dẫn, lên trên cả Mô hình Chuẩn trong vật lý… Nói theo tác giả Oseph Conlon (Giáo sư vật lí lí thuyết tại trường Đại học Oxford - tác giả cuốn Tạo ra ánh sáng từ vũ trụ tối), lí thuyết dây chính là “con thú săn mồi ngồi trên đỉnh tháp của ‘chuỗi thực phẩm’ vật lí”. Một cuốn sách rất cần cho mọi giảng viên, giáo viên và sinh viên vật lí vì nó không chỉ giới thiệu về lí quyết dây mà còn cung cấp bức tranh tổng hợp về cảnh quan và hiện trạng của vật lí hiện đại. Không quá đào sâu vào chuyên môn (có rất ít công thức rắc rối trong cuốn sách), cuốn sách được viết với sự duyên dáng và hóm hỉnh. Bạn thậm chí sẽ hiểu ra cách các nhà vật lí co nén các chiều dư để tìm sự chứng minh. Bạn thậm chí hình dung được những thang độ cực lớn và cực bé. Bạn thậm chí thú vị trước các ẩn dụ, những khái niệm Latin như sub aeternitatis (dưới góc độ vĩnh hằng), lebensraum (không gian sinh tồn), götterdammerung (hoàng hôn của các vị thần), modus operandi (nguyên lí vận hành)…Không dừng ở lí thuyết dây, cuốn sách còn nêu ra những vấn đề hết sức con người trong ngành vật lí: cảnh quan bất vị nhân, vấn đề sùng bái cá nhân, các vấn đề lợi ích trong ngành vật lí Và ta thấy trong sách cả hình bóng của nhà vật lý người Việt Đàm Thanh Sơn…           Mời bạn đón đọc. ",140.000,,,,,,,,,,,,, 572.00 gam , 14 x 20 cm , 8934974160274 , 06/03/2019 , Tiếng Việt , Trẩn Hoàng Nghiêm , NXB Trẻ , Nxb Trẻ , 520 , Joseph Conlon , Bìa mềm 
405,Vật Lý Vui - Tập 1,https://www.vinabook.com/images/thumbnails/product/240x/312888_p84225mvatly.jpg,Vật lý,,"  Thông tin tác giả    Yakov Perelman     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là một trong những cuốn sách phổ biến kiến thức khoa học phổ thông về vật lý và toán học của Yakov Perelman viết từ nửa đầu thế kỷ 20, đã được dịch ra nhiều thứ tiếng khác nhau, in tổng cộng hàng chục triệu bản, phổ biến toàn thế giới, và cho đến ngày nay vẫn liên tục được tái bản, vẫn còn nguyên giá trị vì tính khoa học và tính sư phạm tuyệt vời.Mời bạn đón đọc. ",90.000,,,,,,,,,,,,, 374.00 gam , 14.5 x 20.5 cm , 9786047749140 , 08/2018 , Tiếng Việt ," Đặng Quang Khang , Nguyễn Tiến Dũng ", Sputnik , Nxb Thế giới , 300 , Yakov Perelman , Bìa mềm 
406,Vũ Trụ Quan Của Albert Einstein,https://www.vinabook.com/images/thumbnails/product/240x/321695_p85446mscan0001.jpg,Vật lý,,"  Thông tin tác giả    Walt Martin     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Magda Ott     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Đã đến lúc cần có ai đó đúc kết lại những diễn ngôn đầy cảm hứng của Albert Einstein vào trong một ấn phẩm. Và không gì tuyệt vời hơn khi tô điểm cho chúng bằng những hình ảnh lộng lẫy nhất của vũ trụ chúng ta đang có."" - Neil deGrasse Tyson, nhà vật lý học thiên thể""Lắm khi ta thấy mình thoát khỏi ra cái tôi hữu hạn với những bất toàn và hạn chế của con người. Những lúc như thế ta tưởng tượng đang đứng trên cái chấm nhỏ của hành tinh bé tẹo này mà ngỡ ngàng chiêm ngắm vẻ đẹp tưởng lạnh lùng mà vĩnh hằng, sâu thẳm, lay động sâu xa ấy. Sống chết tuôn chảy hòa làm một và chẳng có tiến hóa hay số mệnh gì cả; chỉ là sống mà thôi."" - Albert EinsteinMột trong những bộ óc thiên tài nhất nghĩ gì về nơi chúng ta đang sống trong vũ trụ? Đây là dịp hiếm hoi để chúng ta biết được những tư tưởng đaoh đức và triết lý của Albert Einstein và cũng là dịp chúng ta chiêm ngưỡng những hình ảnh đầy kinh ngạc về vũ trụ quanh ta, từ những ""ông bạn hàng xóm"" của Trái đất cho đến khu vực bên rìa của không-thời gian mà chúng ta quan sát được.Mời bạn đón đọc. ",126.000,,,,,,,,,,,,, 286.00 gam , 14 x 20.5 cm , 8936055360627 , 11/2018 , Tiếng Việt ," Hồ Minh Trí , Khải Văn ", Đông Nam , NXB Hồng Đức , 136 ," Walt Martin , Magda Ott ", Bìa mềm 
407,Vũ Trụ Trong Vỏ Hạt Dẻ (Tái Bản 2018),https://www.vinabook.com/images/thumbnails/product/240x/328899_p86362mscan0001.jpg,Vật lý,,"  Thông tin tác giả    Stephen Hawking    
                                                                                                                                                Stephen William Hawking (Sinh ngày 8 tháng 1 năm 1942 - mất ngày 14 tháng 3 năm 2018) là một nhà vật lý lý thuyết, vũ trụ học, tác giả viết sách khoa học thường thức người Anh, hiện là Giám đốc Nghiên cứu tại Trung tâm Vũ trụ học lý thuyết thuộc Đại học Cambridge. Trong số ",98.000,,,,,,,,,,,,, 286.00 gam , 14 x 20 cm , 8934974152088 , 03/2018 , Tiếng Việt ," Vũ Hồng Nam , Nguyễn Tiến Dũng ", NXB Trẻ , Nxb Trẻ , 256 , Stephen Hawking , Bìa mềm 
408,Bản Thiết Kế Vĩ Đại (Tái Bản 2018),https://www.vinabook.com/images/thumbnails/product/240x/298348_p81098mbanthiet.jpg,Vật lý,,"  Thông tin tác giả    Stephen Hawking    
                                                                                                                                                Stephen William Hawking (Sinh ngày 8 tháng 1 năm 1942 - mất ngày 14 tháng 3 năm 2018) là một nhà vật lý lý thuyết, vũ trụ học, tác giả viết sách khoa học thường thức người Anh, hiện là Giám đốc Nghiên cứu tại Trung tâm Vũ trụ học lý thuyết thuộc Đại học Cambridge. Trong số ",90.000,,,,,,,,,,,,, 198.00 gam , 14.5 x 20.5 cm , 8934974152774 , 01/2018 , Tiếng Việt ," Phạm Vǎn Thiều , Tô Bá Hạ ", NXB Trẻ , Nxb Trẻ , 200 ," Stephen Hawking , Leonard Mlodinow ", Bìa mềm 
409,Từ Điển Usborne Vật Lý Minh Họa (Sách Song Ngữ),https://www.vinabook.com/images/thumbnails/product/240x/284706_p78718mimg362.jpg,Vật lý,," Được thành lập bởi Peter Usborne năm  1973, Usborne hiện là Nhà xuất bản sách thiếu nhi lớn nhất và thành công nhất tại Anh. Tính đến nay, Nhà xuất bản danh tiếng này đã cho ra đời hơn 2000 đầu sách thuộc nhiều thể loại khác nhau dành cho trẻ em ở mọi nhóm tuổi.Các đầu sách Usborne được tạo ra không chỉ bởi sự tham gia của các nhà văn, biên tập viên hay nhà thiết kế Anh quốc mà còn được đóng góp từ các họa sĩ, tác giả chọn lọc từ nhiều quốc gia khác nhau. Điều đó cho thấy tầm vóc toàn cầu, sự khác biệt và nguyên nhân sự ưa chuộng rộng rãi mà Usborne có được.Trải qua nhiều thế hệ, các độc giả trở nên quen thuộc với nhiều series sách được Usborne ấn hành như: That’s not my…, Stickers Dolly Dressing, hay Farmyard Tales… Đồng thời, người ta cũng đã thống kê được hiện nay, các đầu sách của Nhà xuất bản Usborne đã được mua bản quyền và phát hành trên toàn thế giới với 55 ngôn ngữ khác nhau.NXB Giáo dục Việt Nam đã phối hợp với NXB Usborne biên dịch và phát hành bộ sách Từ điển minh họa dành cho các cấp học phổ thông bao gồm nhiều lĩnh vực khác nhau như: Toán, Lý, Hóa, Sinh",160.000,,,,,,,,,,,,, 594.00 gam , 17 x 24 cm , 9786040093974 , 01/2017 ," Tiếng Anh, Tiếng Việt ", Đặng Văn Sử , CTCP Sách Dịch , NXB Giáo Dục , 252 ,, Bìa mềm 
410,Cuộc Chiến Lỗ Đen (Tái Bản 2016),https://www.vinabook.com/images/thumbnails/product/240x/217498_p69291mbt.jpg,Vật lý,,"  Thông tin tác giả    Leonard Susskind     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuộc chiến lỗ đen là sự ca tụng trí tuệ loài người và khả năng tuyệt vời của nó trong việc khám phá các định luật của tự nhiên. Đó là sự lý giải về một thế giới ở quá xa các giác quan của chúng ta, còn xa hơn cả Cơ học lượng tử và Thuyết tương đối. Hấp dẫn lượng tử xem xét các đối tượng nhỏ hơn hàng trăm tỉ tỉ lần so với một prôton. Chúng ta chưa bao giờ từng trực tiếp tiếp xúc với những vật nhỏ đến như vậy và có thể sẽ không bao giờ, nhưng sự khéo léo của loài người sẽ cho phép chúng ta suy luận ra sự tồn tại của chúng, và thật đáng kinh ngạc, cổng vào thế giới đó lại chính là những vật thể với kích thước và khối lượng cực lớn: các lỗ đen.Cuộc chiến lỗ đen cũng là một cuốn biên niên sử về một khám phá. Nguyên lý toàn ảnh là một trong những khái niệm trừu tượng và phi trực giác nhất trong toàn bộ vật lý học. Đó là sự tích tụ của hơn hai thập kỷ đấu trí về số phận của thông tin khi bị rơi vào một lỗ đen. Đó không phải là một cuộc chiến tranh giữa các đối thủ hung hãn, mà thực sự ở đây tất cả những người tham chiến chủ yếu đều là bạn bè. Song đó là một cuộc chiến ác liệt về những ý tưởng giữa những người tôn trọng nhau một cách rất sâu sắc nhưng cũng bất đồng với nhau không kém phần sâu sắc.Mời bạn đón đọc. ",192.000,,,,,,,,,,,,, 550.00 gam , 14.5 x 20.5 cm , 8934974138181 , 03/2016 , Tiếng Việt ," Phạm Thu Hằng , Phạm Vǎn Thiều ", NXB Trẻ , Nxb Trẻ , 572 , Leonard Susskind , Bìa mềm 
411,Dạy Học Vật Lý Thông Qua Các Nhà Khoa Học,https://www.vinabook.com/images/thumbnails/product/240x/218897_p69479mbt.jpg,Vật lý,,"  Thông tin tác giả    Nguyễn Phúc Thuần 
                                                                                                                                            Nguyễn Phúc Thuần
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Nguyễn Trọng Dũng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đã lâu có một số thầy cô giáo vật lí trung học cơ sở nói là họ muôn những tài liệu về tiểu sử nhà khoa học mà sách giáo khoa nhắc đến. Theo ý kiến các thầy cô , việc đó giúp cho học sinh các bài giáo khoa đỡ khan. Đó là một gợi ý hay. Cho đến nay, đã ba bốn chục năm trôi qua,những vẫn chưa có một tài liệu nào đáp ứng gợi ý trên. Chúng tôi hy vọng rằng cuốn sách này có thể lấp khoảng trống đó. Cuốn sách này lể chuyện về các danh nhân khoa học vật lí mà sách giáo khoa vật lí từ lớp 6 đến lớp 9 có tất cả 30 danh nhân được nhắc tên. Mỗi bài của một cuốn sach này viết về một danh nhân, trừ một trường hợp đặc biệt",100.000,,,,,,,,,,,,, 594.00 gam , 17 x 24 cm , 8936084800057 , 2015 , Tiếng Việt ,, SPBook , Nxb Đại học Quốc gia Hà Nội , 360 ," Nguyễn Phúc Thuần , Nguyễn Trọng Dũng ", Bìa mềm 
412,Bí Ẩn Của Cái Chảo,https://www.vinabook.com/images/thumbnails/product/240x/178663_p63331mbiatruoc.jpg,Vật lý,,"  Thông tin tác giả    Hervé This     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khi đề cập đến các chủ đề về ẩm thực, người ta luôn chạm đến ngưỡng của những điều huyền bí, những khả năng vô tận của con người, những bản ""hợp xướng"" đầy sáng tạo. Tuy nhiên, hầu hết những bí quyết ẩm thực chỉ được lưu truyền một cách bí mật từ đời này sang đời khác, và không phải mọi bí quyết đều là chân lý.Đó cũng là động lực thúc đẩy giáo sư Hervé This tìm kiếm những giải đáp mang tính khoa học cho những bí quyết ấy, và khai phá một lĩnh vực mới cho ẩm thực: Ẩm thực phân tử, ngành khoa học nghiên cứu về những quá trình hóa lý xảy ra khi nấu ăn dưới góc nhìn của khoa học. Từ đó nâng những sáng tạo ẩm thực lên một tầm cao mới, không còn hoàn toàn dựa vào kinh nghiệm mà được trang bị một công cụ hỗ trợ tuyệt vời: khoa học.Được trình bày dưới dạng hỏi – đáp, Bí ẩn của cái chảo đề cập đến các kiến thức khoa học trong quá trình chế biến thức ăn một cách đơn giản, phù hợp cho những độc giả không chuyên sâu về khoa học nhưng đam mê nấu ăn.Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 308.00 gam , 14 x 20 cm , 8934974133360 , 03/2015 , Tiếng Việt , Nguyễn Thị Bích Việt , NXB Trẻ , Nxb Trẻ , 336 , Hervé This , Bìa mềm 
413,Vui Với Vật Lý,https://www.vinabook.com/images/thumbnails/product/240x/171355_p61355m001.jpg,Vật lý,,"  Thông tin tác giả    Arthur W. Wiggins    
                                                                                                                                                Arthur Wiggins là đồng tác giả
với Charles M. Wynn Sr., của những cuốn sách nhận được nhiều lời khen như: Năm ý
tưởng vĩ đại nhất trong khoa học, Lượng tử nhảy lạc hướng, Năm vấn đề lớn nhất chưa giải quyết được trong khoa học và cuốn
sách giáo khoa Khoa học tự ",120.000,,,,,,,,,,,,, 572.00 gam , 16 x 24 cm , 8936049631818 , 12/2014 , Tiếng Việt , Nguyễn Đức Cường , Long Minh , NXB Dân Trí , 484 , Arthur W. Wiggins , Bìa mềm 
414,"Hạt Higgs - Con Đường Phát Minh Và Khám Phá ""Hạt Của Chúa""",https://www.vinabook.com/images/thumbnails/product/240x/143969_p58056mbia.jpg,Vật lý,,"  Thông tin tác giả    Jim Baggott     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Phần 1: Thuật lại quá trình lịch sử, từ câu hỏi đơn giản về khối lượng của vật chất các nhà khoa học đã dần khám phá ra cấu trúc cơ bản của vật chất. Phát hiện mới này khi giải quyết câu hỏi cũ lại đặt ra thêm những nghi vấn mới, thôi thúc các nhà khoa học tiếp tục nghiên cứu, từ những hạt cơ bản đến mục tiêu giải quyết câu hỏi về nguồn gốc vũ trụ. Các hạt cơ bản được phát minh ngày càng nhiều, và hạt Higg cùng với trường Higg đã được đưa ra để giải thích cho việc phân chia các lực trong tự nhiên, các lực tạo dựng nên vũ trụ vật chất.Phần 2: Từ việc phát triển các hạt trên lý thuyết, giới khoa học cố gắng chứng minh sự tồn tại của các hạt đó qua các thí nghiệm. Dù chậm hơn so với kết quả lý thuyết, các phòng thí nghiệm đã được xây dựng, ngày càng hiện đại hơn nhằm “bắt” các hạt đến được trái đất qua tia vũ trụ hoặc được tạo ra qua sự va chạm trong các máy gia tốc. Hầu hết các hạt đã được tìm thấy (thông qua đó chứng tỏ nó thực sự tồn tại), và hạt Higg, sau biết bao khó nhọc của các nhà vật lý, cuối cùng cũng đã được tìm thấy, sự kiên trì của họ đã được đền đáp.Mời bạn đón đọc. ",112.000,,,,,,,,,,,,, 352.00 gam , 14 x 20 cm , 8934974127178 , 03/2014 ,, Nhiều dịch giả , NXB Trẻ , Nxb Trẻ , 282 , Jim Baggott , Bìa mềm 
415,Thế Giới Những Điều Chưa Biết - Bí Ẩn Về Vật Lí,https://www.vinabook.com/images/thumbnails/product/240x/40618_47161.jpg,Vật lý,,  Thông tin tác giả    Triệu Thế Châu     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bí ẩn về vật lí:Đêm đen hay là đêm trắng?Điện tử có thể là một dây đàn nhỏCó thể vượt qua được tốc độ ánh sáng không?Mặt trời cho chúng ta biết điều gì?Sét hòn - hiện tượng kì lạ của thiên nhiênCon số và tương lai.Mời bạn đón đọc. ,34.000,,,,,,,,,,,,, 176.00 gam , 14 x 20.5 cm , 9786045606575 , 12/2011 ,, Trần Quân , NXB Phụ Nữ , NXB Phụ Nữ , 172 , Triệu Thế Châu , Bìa mềm 
416,Bài Giảng Lý Thuyết Hạt Cơ Bản,https://www.vinabook.com/images/thumbnails/product/240x/41641_48184.jpg,Vật lý,,"  Thông tin tác giả    Đào Vọng Đức 
                                                                                                                                            Đào Vọng Đức
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phù Chí Hoà 
                                                                                                                                            Phù Chí Hoà
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong những thập kỷ gần đây khoa học nói chung và Vật lý học nói riêng đã thực hiện những bước phát triển ngoạn mục, đánh dấu bởi vô số những phát minh kỳ diệu, từ những lĩnh vực lý thuyết trừu tượng nhất đến những lĩnh vực ứng dụng rộng rãi nhất trong thực tế sản xuất và đời sống. Đặc biệt, Vật lý các hạt cơ bản đã dạt những thành tựu có tính cách mạng, cả về mặt lý thuyết lẫn thực nghiệm, trong việc nghiên cứu cấu trúc cùng với các cơ chế tương tác giữa các hạt. Đến nay số hạt cơ bản phát hiện được đã lên tới hàng trăm, tương tác với nhau theo các quy luật rất phong phú và đa dạng. Tìm hiểu được cấu trúc của thế giới các hạt vi mô cùng với những quy luật tác động trong đó để tạo nên thế giới quanh ta ra sao là những vấn đề cốt lõi của Vật lý học hiện đại.Mục lụcChương 1: Các nguyên lý cơ bảnChương 2: Đối xứng các hạt tương tác mạnhChương 3: Tương tác yếuChương 4: Tương tác điện từChương 5: Lý thuyết đối xứng GauseChương 6: Mô hình chuẩn tương tác yếu - Điện từ Weinberg - SalamChương 7: Sắc động lực lượng tử",99.000,,,,,,,,,,,,, 660.00 gam , 16 x 24 cm , 89350489114495 , 12/2011 ,,, Tiến Sĩ Phù Chí Hòa , NXB Khoa học và kỹ thuật , 294 ," Đào Vọng Đức , Phù Chí Hoà ", Bìa cứng 
417,Vật Lý Hiện Đại - Những Vấn Đề Thời Sự Từ Bigbounce Đến Vũ Trụ Toàn Ảnh,https://www.vinabook.com/images/thumbnails/product/240x/37381_43924.jpg,Vật lý,,"  Thông tin tác giả    Cao Chi 
                                                                                                                                            Cao Chi
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách này có mục đích chia sẻ những thông tin nhằm phổ biến đến đông đảo bạn đọc những kiến thức cơ bản nhất của vật lý hiện đại.Vì vật lý hiện đại là một vấn đề rất lớn, nên khó lòng nói đến trong một cuốn sách dù từ quan điểm nào và đến mức độ nào. Nhiều vấn đề thời sự của vật lý hiện đại là những vấn đề hết sức sâu sắc hàm ẩn nhiều nội dung vật lý và toán học có ảnh hưởng đến nhiều lĩnh vực khoa học và triết học.Mời bạn đón đọc. ",90.000,,,,,,,,,,,,, 660.00 gam , 16 x 24 cm , 1910000025653 , 05/2011 ,,, Phương Nam , NXB Tri thức , 416 , Cao Chi , Bìa mềm 
418,Mười Vạn Câu Hỏi Vì Sao - Tri Thức Thế Kỉ 21 - Vật Lí,https://www.vinabook.com/images/thumbnails/product/240x/35135_41678.jpg,Vật lý,,"  Thông tin tác giả    Phạm Văn Bình (Biên Dịch)     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Mười vạn câu hỏi vì sao"" là bộ sách phổ cập khoa học dành cho lứa tuổi thanh thiếu niên, dùng hình thức trả lời hàng loạt câu hỏi ""Thế nào?"", ""Tại sao?"" để trình bày một cách đơn giản, dễ hiểu một khối lượng lớn các khái niệm, các phạm trù khoa học, các sự vật, hiện tượng, quá trình trong tự nhiên, xã hội và con người, giúp cho người đọc hiểu được các lý lẽ khoa học tiềm ẩn trong các hiện tượng, quá trình quen thuộc trong đời sống thường nhật",44.000,,,,,,,,,,,,, 396.00 gam , 13 x 21 cm , 8934994009515 , 06/2010 ,,, CTCP Sách Dịch , NXB Giáo Dục , 436 , Phạm Văn Bình (Biên Dịch) , Bìa mềm 
419,Câu Chuyện Vật Lý,https://www.vinabook.com/images/thumbnails/product/240x/349438_p90099mcauchuyen.jpg,Vật lý,,"  Thông tin tác giả    Art Huffman     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Larry Gonick     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Vẫn là Larry Gonick với nét vẽ dí dỏm, cùng những ý tưởng hài hước của Art Huffman, môn vật lý hiện ra trước mắt bạn đọc không còn khô khan, rối rắm và đáng sợ nữa, mà chính là những ứng dụng rất đời thường và hiện tượng mà bất cứ ai cũng dễ dàng thấy được trong cuộc sống thường ngày. Lực chẳng phải là thứ gì xa lạ, quán tính không có gì khó hiểu, dòng điện chẳng có gì bí ẩn, cả thuyết tương đối cũng trở nên gần gũi hơn. Các tác giả đã cho thấy rằng, vật lý chính là thế giới này.Mời bạn đón đọc. ",125.000,,,,,,,,,,,,, 440.00 gam , 19 x 24 cm , 8934974164012 , 09/2019 , Tiếng Việt , Nguyễn Nguyệt Anh , NXB Trẻ , Nxb Trẻ , 214 ," Art Huffman , Larry Gonick ", Bìa mềm 
420,Vật Lý Của Những Điều Tưởng Chừng Bất Khả,https://www.vinabook.com/images/thumbnails/product/240x/348612_p90006mvatly.jpg,Vật lý,,"  Thông tin tác giả    Michio Kaku     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Nếu một ý tưởng nghe chừng không có gì ngớ ngẩn thì đừng mong có hy vọng gì cho nó.” – Albert EinsteinTrong Vật lý của những điều tưởng chừng bất khả, nhà vật lý Michio Kaku khám phá khả năng đưa những công nghệ và thiết bị từ lãnh địa của khoa học viễn tưởng vào cuộc sống thường nhật trong tương lai.Bằng lối dẫn chuyện lôi cuốn và khơi gợi trí tò mò, Kaku đưa chúng ta theo một hành trình khó quên đầy mê hoặc của các chùm tia hủy diệt, trường lực, áo khoác tàng hình đến du hành thời gian… Dù phải chờ thêm hàng thế kỷ hay khả thi ngay trong vài thập kỷ tới, hẳn bạn sẽ bất ngờ khi biết những điều ngỡ “viễn tưởng” này, thật ra, lại trong tầm với của khoa học.Mời bạn đón đọc. ",179.000,,,,,,,,,,,,, 616.00 gam , 16 x 24 cm , 8935251412772 , 07/10/2019 , Tiếng Việt , Thới Ngọc Tuấn Quốc , Alpha books , Nxb Thế giới , 400 , Michio Kaku , Bìa mềm 
421,7 Bài Học Hay Nhất Về Vật Lý (Tái Bản 2018),https://www.vinabook.com/images/thumbnails/product/240x/338919_p87661mp87661mscan0001.jpg,Vật lý,,"  Thông tin tác giả    Carlo Rovelli     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách 7 bài học hay nhất về Vật lý là một bản tổng kết nhanh những tri thức quan trọng đã tạo nên cuộc cách mạng vĩ đại trong nền vật lý thế kỷ XX như thuyết tương đối rộng, cơ học lượng tử, vũ trụ học, hạt cơ bản, lý thuyết hấp dẫn lượng tử, hố đen. Cuốn sách cũng đề cập đến ý nghĩa của tất cả những tri thức ấy với nhận thức của con người ngày nay.Trong ấn bản tiếng Italia, cuốn sách đã bán được hơn 300.000 bản, và giờ đã được dịch ra 28 thứ tiếng. Được Independent, Economist, Telegraph, Guardian, New Scientist, Evening Standard bình chọn là cuốn sách hay nhất của năm 2015.""Bằng cách trình bày đơn giản và sáng rõ, Bảy bài học hay nhất về vật lý sẽ dẫn dắt chúng ta xuyên qua kỷ nguyên cách mạng khoa học đã và đang làm rung chuyển cả nền vật lý hiện đại từ thế kỷ XX đến nay. Cuốn sách giải thích về những khám phá khoa học làm thay đổi cả thế giới của chúng ta trong thế kỷ XX: từ thuyết tương đối, cơ học lượng tử, hố đen, cấu trúc phức tạp của vũ trụ, lực hấp dẫn, cho đến bản chất của nhận thức, và ý nghĩa của những tri thức đó với chúng ta ngày nay. Đã từ rất lâu mới lại có một cuốn sách về vật lý sinh động và hấp dẫn đến thế. ""      (Tạp chí New Scientist)Mời bạn đón đọc. ",64.000,,,,,,,,,,,,, 198.00 gam , 14 x 20.5 cm , 8935270700348 , 05/2018 , Tiếng Việt , Nguyễn Nguyên Hy , Alpha books , Nxb Thế giới , 148 , Carlo Rovelli , Bìa mềm 
