tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,dịch giả,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa
Cẩm Nang Hướng Dẫn Tẩy Sỏi Gan Mật - Phương Pháp Diệu Kỳ Cho Sức Khoẻ Dài Lâu,https://www.vinabook.com/images/thumbnails/product/240x/361179_p92075mcamnanghuongdantaysoiganmat155x24final01bia1.jpg,Y học thường thức,"  Thông tin tác giả    Andreas Moritz     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hầu hết mọi người cho rằng sỏi mật chỉ có trong túi
mật. Đây là nhận thức phổ biến, nhưng sai lầm. Thực ra phần lớn sỏi mật được
hình thành ở gan, chỉ có một số được tạo ra ở túi mật. Bạn có thể dễ dàng xác
minh điều này bằng cách tự tẩy sỏi mật, bất kể bạn là người chẳng có chuyên môn
y khoa, hay là bác sĩ, nhà khoa học, hay thậm chí là người đã cắt bỏ túi mật và
do vậy được coi là không còn sỏi mật. Để duy trì hệ tiêu hóa khỏe mạnh, ngăn ngừa đột
biến tế bào và tổn thương oxy hóa, cũng như cung cấp đủ dinh dưỡng cho tế bào,
gan phải sản xuất 1-1,5 lít mật mỗi ngày. Hễ ít hơn thì sẽ gây ra vấn đề với
quá trình tiêu hóa thức ăn, loại bỏ chất thải và thải độc trong máu. Nhưng
nhiều người chỉ sản xuất được một cốc mật mỗi ngày, thậm chí ít hơn. Như nhiều
nghiên cứu đã chỉ ra, hầu như mọi vấn đề về sức khỏe là hậu quả trực tiếp hoặc
gián tiếp của việc suy giảm sản xuất và lưu thông mật. Người mắc bệnh mạn tính thường có vài nghìn viên
sỏi mật làm tắc nghẽn các ống mật trong gan. Một số sỏi cũng hình thành trong
túi mật. Một khi những viên sỏi này được loại bỏ thông qua quá trình tẩy sỏi
mật, rồi chế độ ăn và lối sống cân bằng được duy trì, thì gan và túi mật sẽ
khôi phục lại chức năng ban đầu và hầu hết các triệu chứng khó chịu hay bệnh
tật trong cơ thể sẽ thuyên giảm. Bạn sẽ nhận thấy tất cả bệnh dị ứng dai dẳng
sẽ nhẹ đi hoặc biến mất. Đau lưng sẽ tiêu tan, còn năng lượng và sức khỏe được nâng
lên. Làm thông các ống dẫn mật trong gan là một trong
những biện pháp quan trọng và mạnh mẽ nhất bạn có thể áp dụng để cải thiện và
giành lại sức khỏe. Thông qua cuốn sách “Cẩm nang hướng tẩy sỏi gan mật - Phương pháp diệu kỳ cho sức khoẻ dài lâu” của tác giả Andreas Morits, bạn sẽ học được
cách nhẹ nhàng loại bỏ vài trăm viên sỏi mật trong một lần tẩy sỏi. Kích thước
của chúng dao động từ hạt vừng đến hạt óc chó nhỏ (2-3cm), trong một số trường
hợp hiếm hoi, sỏi có thể to bằng quả bóng chơi golf. Quá trình tẩy sỏi gan thực
sự diễn ra trong khoảng dưới 14 giờ và có thể được thực hiện dễ dàng tại nhà
vào cuối tuần.Mời bạn đón đọc. ",199.0, 15.5 x 24 cm , 08/2020 , Nhóm dịch Viethealthy , Thái Hà , Nxb Thế giới ,504.0, Andreas Moritz , Bìa mềm 
Hệ Miễn Dịch - Khám Phá Cơ Chế Tự Phòng Chữa Bệnh Của Cơ Thể Người,https://www.vinabook.com/images/thumbnails/product/240x/360348_p91718mhmd.jpg,Y học thường thức,"  Thông tin tác giả    Daniel M. Davis     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ thể con người có khả năng chiến đấu với bệnh tật và tự chữa
lành vết thương là một trong những bí ẩn và tuyệt tác của thiên nhiên. Đó gọi
là hệ thống miễn dịch, nó giữ vai trò rất quan trọng trong việc tự bảo vệ sức
khỏe của con người. Hệ miễn dịch vô cùng phức tạp nhưng cũng không kém phần lý
thú. Trong những năm gần đây, nghiên cứu miệt mài đã dẫn đến những tiến bộ lớn
trong việc chúng ta nắm bắt thế giới nội tâm tuyệt đẹp này: Khi chúng ta bị ốm
hoặc bị thương, một mạng lưới rộng lớn và phức tạp của các tế bào chuyên gia,
protein điều hòa và các gen chuyên dụng lập tức hình thành cơ chế phòng vệ
trong cơ thể, nỗ lực triệt hạ những vi khuẩn xâm nhập hoặc tấn công những khối
u đang phát triển. Nó mạnh mẽ hơn nhiều so với bất kỳ loại thuốc nào từng được
phát minh. Trong cuốn sách “Hệ miễn dịch – Khám phá cơ chế tự phòng chữa
bệnh của cơ thể người”, nhà miễn dịch học hàng đầu Daniel M.Davis đã ví von rằng,
nghiên cứu hệ miễn dịch trong cơ thể con người cũng giống như nghiên cứu những
vì sao và ngân hà trong vũ trụ của chúng ta vậy. Tác giả đưa cho chúng ta một
cái nhìn tổng quát về bức tranh rộng lớn của hệ miễn dịch, cùng những câu chuyện
về hành trình khám phá ra những mảnh ghép của bức tranh ấy. Cuốn sách được chia ra làm hai phần: Phần đầu tiên giải
thích những khái niệm cơ bản về sức đề kháng, đồng thời kể về hành trình khám
phá các tế bào cùng các cơ chế phức tạp trong hệ miễn dịch. Phần thứ hai bàn về
những nghiên cứu hiện đại về việc những tác nhân khác nhau ảnh hưởng thế nào đến
hệ miễn dịch của chúng ta. Hành trình khám phá đi từ những phát kiến kéo dài nhiều thập
kỷ của các nhà khoa học tiên phong, từ những thí nghiệm đầu tiên về vắc xin
tiêm chủng bệnh đậu mùa vào những năm 1720, cho đến những tiến triển vượt trội
trong lĩnh vực điều trị ung thư bằng hệ miễn dịch. Việc nghiền ngẫm cuốn sách
này sẽ giúp chúng ta có những khái niệm đầu tiên về sự phức tạp của “vũ trụ hệ
miễn dịch” bên trong ta.Mời bạn đón đọc. ",149.0, 16 x 24 cm , 2020 ," Trần Tuấn Hiệp , Trương Duy Hiệu ", Alpha books , NXB Dân Trí ,300.0, Daniel M. Davis , Bìa mềm 
"Phòng Ngừa Tai Nạn, Thương Tích Trong Gia Đình",https://www.vinabook.com/images/thumbnails/product/240x/357983_p91233mphong.jpg,Y học thường thức,"  Thông tin tác giả    Phạm Văn Nhân 
                                                                                                                                            Phạm Văn Nhân
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sách được tác giả biên soạn công phu, cập nhật nhiều thông tin, kiến thức cần thiết từ nhiều nguồn tài liệu trong và ngoài nước, đáp ứng nhu cầu của gia đình, xã hội hiện đại. Sách không chỉ là cẩm nang cần thiết của các bậc phụ huynh mà trong trường học, trong sinh hoạt đoàn thể có thể tham khảo, vận dụng nhằm mang lại cuộc sống an toàn, hạnh phúc cho trẻ em.Mời bạn đón đọc. ",60.0, 13 x 20.5 cm , 16/06/2020 ,, NXB Trẻ , Nxb Trẻ ,192.0, Phạm Văn Nhân , Bìa mềm 
Tâm Bệnh Học,https://www.vinabook.com/images/thumbnails/product/240x/356875_p91032mtam.jpg,Y học thường thức,"  Thông tin tác giả    TS. Phạm Toàn 
                                                                                                                                            Phạm Toàn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Tâm bệnh học"" giới thiệu tính phổ quát của các đề mục trong môn học tâm lý tâm thần, cũng như tính chuyên sâu và súc tích về các phần nội dung chuyên ngành, do đó nó sẽ là tập tài liệu tham khảo bổ ích cho các sinh viên và chuyên viên đang học tập, làm việc hoặc giảng dạy trong ngành tâm thần tâm lý. Sách gồm 12 chương. Năm chương đầu đề cập đến những vấn đề tổng quát liên quan đến các khái niệm về lý thuyết, đánh giá, phân loại, chẩn đoán, và các phương pháp chữa trị các trường hợp rối loạn tâm lý tâm thần. Bảy chương sau trình bày đầy đủ chi tiết về các chứng bệnh tâm thần phổ thông thuộc mọi lứa tuổi, từ trẻ sơ sinh đến người già. Mỗi chương đều độc lập về nội dung, do đó độc giả sẽ không gặp trở ngại gì khi không muốn đọc theo đúng trình tự từng chương sách đã được sắp xếp. Mời bạn đón đọc. ",145.0, 14 x 20 cm , 03/2020 ,, NXB Trẻ , Nxb Trẻ ,544.0, TS. Phạm Toàn , Bìa mềm 
Cơ Thể Tự Chữa Lành,https://www.vinabook.com/images/thumbnails/product/240x/356488_p90974mcothetuchualanhbia1.jpg,Y học thường thức,"  Thông tin tác giả    Anthony William     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ thể tự chữa lành tiết lộ nguyên nhân gốc rễ của nhiều căn bệnh mà các cộng đồng y tế còn nhầm lẫn hoặc chưa hiểu hết. Qua cuốn sách, tác giả đưa ra những phương pháp hoàn toàn tự nhiên để chữa lành rất nhiều căn bệnh đang hành hạ vô số người trong chúng ta, như bệnh Lyme, đau xơ cơ, mệt mỏi tuyến thượng thận, mệt mỏi mạn tính, mất cân bằng nội tiết tố, v.v",160.0, 18 x 23 cm , 10/03/2020 , Nguyễn Huyền Linh , Huy Hoàng , NXB Thanh Niên ,396.0, Anthony William , Bìa mềm 
"Ôi, Đường!",https://www.vinabook.com/images/thumbnails/product/240x/355782_p90893moi.jpg,Y học thường thức,"  Thông tin tác giả    Katherine Bassford     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tựa sách này đưa ra những tác hại của đồ ngọt, rủi ro nếu lỡ “nghiện” ăn ngọt, làm sao để thỏa thuê cơn nghiện mà vẫn giữ được sức khỏe, vóc dáng. Một đề tài không lạ nhưng lời dẫn hài hước, không đưa ra bắt buộc, cũng không cưỡng ép phải kiêng khem, đơn giản là phân tích và dẫn chứng một cách dí dỏm rồi đưa ra đề nghị hợp lí.Mời bạn đón đọc. ",70.0, 14 x 20 cm , 12/2019 , Đỗ Ngọc Như Quỳnh , NXB Trẻ , Nxb Trẻ ,214.0, Katherine Bassford , Bìa mềm 
Chế Độ Ăn Giải Độc Cơ Thể Phòng Chống Lão Hóa (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/355407_p90835mscan0021.jpg,Y học thường thức,"  Thông tin tác giả    Nguyễn Thị Minh Kiều     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Độc tố tiếp xúc thường xuyên hàng ngày sẽ gây quá tải cho cơ thể, làm tổn thương các cơ quan nội tạng, dẫn đến bệnh tật. Vì vậy, điều cần kíp làm ngay trước khi bệnh tật xảy ra là giải độc cơ thể, để làm chậm hay chặn đứng quá trình lão hóa ""sớm"".Chế Độ Ăn Giải Độc Cơ Thể Phòng Chống Lão Hóa là cuốn sách hướng dẫn thực hành ăn giải độc, phòng chống lão hóa với 4 bước chuyển đổi trong thói quen ăn uống. Kèm theo là danh mục thực phẩm có tính giải độc, cách chế biến thức ăn hạn chế sinh độc tố và thực đơn mẫu.Mời bạn đón đọc ",45.0, 14.5 x 20.5 cm , 01/2020 ,, Việt Thư , NXB Hồng Đức ,200.0, Nguyễn Thị Minh Kiều , Bìa mềm 
Phương Pháp Điều Trị Trầm Cảm,https://www.vinabook.com/images/thumbnails/product/240x/355127_p90805mphuongphap.jpg,Y học thường thức,"  Thông tin tác giả    Stephen S. Ilardi     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn cẩm nang phòng tránh hội chứng TRẦM CẢM bán chạy nhất nước Mỹ năm 2018.Được viết và biên soạn bởi Tiến sĩ tâm lí học lâm sàng của Đại học Duke Stephen S. Ilardi đồng thời là một bác sĩ tiếng tăm trong việc điều trị các hội chứng trầm cảm, mang lại cuộc đời mới và thắp lên tia hy vọng cho hàng triệu bệnh nhân.Trầm cảm là một căn bệnh quái ác. Nó cướp đi năng lượng, giấc ngủ, trí nhớ, sự tập trung, sức sống, niềm vui, khả năng yêu thương, làm việc và vui chơi, đôi khi cả ý chí sống của con người. Là một nhà tâm lý học lâm sàng, tiến sĩ Ilardi từng làm việc với hàng trăm bệnh nhân để giúp họ điều trị chứng trầm cảm, vì vậy ông không bao giờ đánh giá thấp kẻ thù đáng sợ này.Tiến sĩ Ilardi và nhóm nghiên cứu lâm sàng của ông đã phát triển và cải tiến một chương trình mang lại hiệu quả cao trong việc điều trị hội chứng trầm cảm: Thay đổi lối sống trị liệu – một phương pháp sáng tạo giúp bệnh nhân thoát khỏi hội chứng này mà không cần dùng đến thuốc.Trong thập kỷ trước, tỷ lệ mắc chứng trầm cảm đã tăng nhanh đột biến và khoảng ¼ người dân Mỹ mắc chứng trầm cảm nặng tại một số thời điểm trong cuộc sống của họ. Chúng ta đã sai ở đâu? Tiến sĩ Stephen đã làm sáng tỏ thực trạng khó khăn hiện tại của chúng ta và nhắc mọi người nhớ rằng cơ thể của chúng ta không được sinh ra cho một nhịp sống thiếu ngủ, không được chăm sóc và nhịp độ hối hả của cuộc-sống-thế-kỉ-XXI. Lấy cảm hứng từ khả năng phục hồi phi thường của nhóm người thổ dân Kakui ở Papua New Guinea, Tiến sĩ Ilardi nghiên cứu một chương trình dễ thực hiện, đã được chứng minh lâm sàng giúp hồi phục cơ thể với sáu thành tố sau:- Thực phẩm cho não- Đừng nghĩ, hãy hành động- Các bài tập thể chống trầm cảm- Nhận đủ ánh sáng- Kết nối- Thói quen ngủ lành mạnhCách tiếp cận toàn diện của Phương pháp điều trị trầm cảm đã được đáp ứng với tỷ lệ thành công lớn, giúp ích cả cho những người không phù hợp với việc uống thuốc truyền thống. Đối với những ai đang tìm cách điều trị khác, Phương pháp điều trị trầm cảm sẽ mang đến hy vọng và một phương thức thiết thực cho sức khỏe của họ.Một hướng dẫn thiết thực và hữu ích. Cuốn sách này nên có mặt ở bất cứ thư viện cộng đồng hay thư viện về sức khỏe nào.Mời bạn đón đọc. ",98.0, 14.5 x 20.5 cm , 12/2019 , Trịnh Dung , AZ books , Nxb Hà Nội ,344.0, Stephen S. Ilardi , Bìa mềm 
3 Phút Sơ Cứu,https://www.vinabook.com/images/thumbnails/product/240x/354409_p90734m3phutsocuu01.jpg,Y học thường thức,"  Thông tin tác giả    BS. Ngô Đức Hùng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     3 phút là khoảng thời gian để cơ thể tiết ra adrenalin, hormon sống còn giúp máu về tim tốt hơn. Nếu bạn sơ cứu không đúng cách, máu về tim sẽ tồi hơn và các tế bào sẽ rối loạn chuyển hóa.3 phút là thời gian chảy máu trước khi cơ thể khởi động quá trình cầm máu. Nếu bạn sơ cứu không đúng cách, quá trình cầm máu sẽ tồi hơn và giết chết các tế bào được mạch máu đó nuôi dưỡng.3 phút là thời gian tế bào não có thể chịu đựng được khi thiếu oxy trước khi tổn thương vĩnh viễn. Nếu bạn sơ cứu không đúng cách, tế bào não sẽ tổn thương vĩnh viễn và lúc ấy các can thiệp y khoa sẽ trở thành vô nghĩa.Cuốn sách gồm đầy đủ các thông tin giúp bạn sơ cứu trong 3 phút đó ""Ngắn gọn - Rõ ràng - An toàn - Hiệu quả"".Mời bạn đón đọc. ",125.0, 14 x 20.5 cm , 01/2020 ,, Nhã Nam , Nxb Thế giới ,204.0, BS. Ngô Đức Hùng , Bìa mềm 
Sống Khỏe Không Rủi Ro,https://www.vinabook.com/images/thumbnails/product/240x/353958_p90644msongkhoekhongruiro01.jpg,Y học thường thức,"  Thông tin tác giả    Frédéric Saldmann     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nên rửa tay trước hay sau khi đi vệ sinh, đá lạnh có thể giúp giảm cân, ôm giúp cắt cơn đói, tiểu đứng hay tiểu ngồi có lợi, đạp xe nhiều làm giảm nhu cầu tình dục,",118.0, 14 x 20.5 cm , 26/12/2019 ," Nguyễn Lý Vân , Lưu Thị Hương Thanh ", Nhã Nam , NXB Dân Trí ,348.0, Frédéric Saldmann , Bìa mềm 
Cẩm Nang Hướng Dẫn Thải Độc & Chế Độ Ăn Uống Lành Mạnh,https://www.vinabook.com/images/thumbnails/product/240x/353850_p90638mcamnang.jpg,Y học thường thức,"  Thông tin tác giả    Nguyễn Hải 
                                                                                                                                            Nguyễn Hải
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Trần Bích Hà 
                                                                                                                                            Tác giả Trần Bích Hà là giám đốc của Transviet – một trong 10 công ty du lịch hàng đầu Việt Nam. Chị từng đi nhiều nước và nghiên cứu, tiếp cận cách giáo dục của nhiều nước tiên tiến. Minh Thu con gái chị đã trúng tuyển sớm (early decision) vào trường Đại học Brown – ",145.0, 15.5 x 24 cm , 18/12/2019 ,, Thái Hà , Nxb Thế giới ,216.0," Nguyễn Hải , Trần Bích Hà ", Bìa mềm 
Năng Lượng Sống Từ Thảo Dược,https://www.vinabook.com/images/thumbnails/product/240x/353440_p90608mhhnangluongsongtuthaoduoc.jpg,Y học thường thức,"  Thông tin tác giả    Rosalee de la Forêt     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Các bạn có biết ngay trong căn bếp nhà mình có cả một rương thuốc thảo dược rất tốt chăng?NĂNG LƯỢNG SỐNG TỪ THẢO DƯỢC sẽ chỉ cho bạn cách làm thế nào để chuyển hóa các loại nguyên liệu thông thường thành thức ăn và dược liệu chữa bệnh. Qua hướng dẫn của dược sư Rosalee de la Forêt, bạn sẽ hiểu được cách làm thế nào để khớp các đặc tính của từng loại cây với nhu cầu của chính cơ thể mình, để có một cách tiếp cận cụ thể dành cho sức khỏe của cá nhân bạn và gia đình.Hãy nuôi dưỡng hiểu biết về các loại gia vị cùng thảo dược và bắt đầu sử dụng các dược liệu từ thiên nhiên để nấu ăn, chữa lành và chăm sóc cả gia đình bạn!Mời bạn đón đọc. ",325.0, 16 x 24 cm , 18/12/2019 , Orkid , Huy Hoàng , NXB Thanh Niên ,436.0, Rosalee de la Forêt , Bìa cứng 
Raw Vegan - Sức Mạnh Chữa Lành Của Thực Vật,https://www.vinabook.com/images/thumbnails/product/240x/363490_p92741mimage209338.jpg,Y học thường thức," Thứ đắng nhất không phải là thuốc, mà là sự hối hận khi nhận ra đã quá muộn để thay đổi lối sống.Thứ đắt nhất không phải là tiền bạc, mà là thời gian tự do bạn phải đánh đổi để chống đỡ bệnh tật.Nhìn vào tỷ lệ người mắc ung thư mỗi năm, nhất là độ tuổi ngày càng trẻ hóa, nhất là khi đó là một người quen, người thân của bạn, bạn có giật mình không?Nhìn chính mình mỗi ngày đều thiếu sức sống, chỉ đủ sức chống chọi bệnh tật và những cảm xúc thất thường, không thể tập trung để làm việc, sáng tạo, cống hiến, bạn có thấy mình đang “sống mòn”?Thứ bạn nên thay đổi không phải là loại thuốc đắt hơn, bệnh viện tốt hơn, mà chính là LỐI SỐNG của bạn, bắt đầu từ việc ăn uống và sinh hoạt. Bởi “bạn là những gì bạn ăn, mỗi thực phẩm có một tần số riêng, và chỉ những thực phẩm mang tần số cao, giàu “năng lượng sống“ mới có thể nuôi dưỡng và nâng cấp cơ thể cũng như tâm trí bạn. “Raw vegan - sức mạnh chữa lành của thực vật” - công trình nghiên cứu công phu và đầy đủ nhất của TS. Norman W. Walker về chế độ ăn thuần thực vật và lối sống khoa học, là cuốn sách mà mỗi gia đình nên đặt trong tủ sách sức khỏe và căn bếp của mình để nhắc nhở mỗi người:· Nhận ra những lợi ích quan trọng của chế độ ăn uống thuần thực vật trong việc chữa bệnh và hình thành một lối sống mới đơn giản, lành mạnh và vui khỏe mỗi ngày.· “Giật mình” trước những thực phẩm độc hại mà chúng ta đang tiêu thụ và loại bỏ chúng từ dần dần đến vĩnh viễn khỏi thực đơn.· Hiểu được cơ chế hoạt động của các tế bào, tuyến và nội tạng trong cơ thể, từ đó thiết lập lối sinh hoạt đúng nguyên lý cân bằng và thuận tự nhiên.· Quan tâm đến sức khỏe tinh thần, hình thành tư duy sống trẻ,, bởi trạng thái tâm trí quyết định thể trạng của mỗi con người· Tự kiểm chứng những kiến thức về sức khỏe, tự xây dựng thói quen kỷ luật và chịu trách nhiệm với chính mình.Bạn là người quyết định rằng bạn không chỉ ""ổn"", mà thực sự khỏe mạnh yêu đời, bạn không chỉ ""tồn tại"", mà đang sống trọn từng phút giây.Mời bạn đón đọc! ",92.0, 20.5 x 14 cm , 11/2020 , Lê Nhung , Skybooks , Nxb Thế giới ,224.0,, Bìa mềm 
Cơ Thể Tự Chữa Lành: Thực Phẩm Thay Đổi Cuộc Sống,https://www.vinabook.com/images/thumbnails/product/240x/363426_p92729mimage195509139595.jpg,Y học thường thức,"  Thông tin tác giả    Anthony William     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ thể tự chữa lành: Thực phẩm thay đổi cuộc sống - Thần dược đến từ trái cây và rau củ giúp chúng ta tăng nhận thức và có cái nhìn mới về những loại trái cây và rau củ -  những tinh túy mà thiên nhiên đã ban tặng cho chúng ta. Đối với mỗi loại thực phẩm được liệt kê trong cuốn sách, tác giả sẽ kèm theo một danh sách các căn bệnh và triệu chứng mà thứ trái cây hoặc rau củ đó sẽ giúp giảm nhẹ tình trạng bệnh, đồng thời chỉ ra rất nhiều lợi ích của chúng trong việc hỗ trợ về mặt tinh thần và cảm xúc. Ngoài ra, còn có những công thức các món ăn ngon lành và dễ làm xuyên suốt cuốn sách.Khi bạn làm theo hướng dẫn trong cuốn sách, việc mua sắm và nấu ăn mang ý nghĩa mới, bởi vì linh hồn của trái cây hoặc rau củ sẽ bắt đầu trò chuyện với bạn, tác động đến cơ thể lẫn cuộc sống của bạn. Bạn sẽ bắt đầu cảm thấy thực sự được thiên nhiên hỗ trợ, và phần ban sơ sâu thẳm nào đó trong bạn sẽ bắt đầu tỉnh giấc. Đọc cuốn sách này, khai thác sức mạnh tinh thần và cảm xúc của trái cây và rau củ chính là liều thuốc hiệu nghiệm giúp ta hòa hợp với người luôn hỗ trợ tất cả chúng ta - chính là Mẹ trái đất. Niềm hy vọng và sức sống sẽ bắt đầu trở lại với chúng ta và lan tỏa. Cảm giác đó tựa như trở về mái ấm thiên đường trên mặt đất vậy.Mời bạn đón đọc! ",185.0, 23 x 18 cm , 11/2020 , Mokona , Huy Hoàng , NXB Thanh Niên ,464.0, Anthony William , Bìa mềm 
Cơ Thể Tự Chữa Lành: Giải Cứu Gan,https://www.vinabook.com/images/thumbnails/product/240x/363416_p92726mcothetuchualanh3bia1.jpg,Y học thường thức,"  Thông tin tác giả    Anthony William     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ thể tự chữa lành - Giải cứu gan là cuốn sách tiếp theo trong bộ sách Cơ thể tự chữa lành của tác giả có sách bán chạy số 1 theo New York Times bình chọn: Anthony William. Trong tác phẩm mới này, ông sẽ hé mở bức màn bí mật về đặc điểm, cơ chế hoạt động và những điều bí ẩn xoay quanh lá gan của con người.Trong thế giới hiện đại, chúng ta không hề biết rằng có bao nhiêu triệu chứng, tình trạng và bệnh lý bắt nguồn từ một lá gan quá tải, trì trệ và ứ đọng. Không chỉ có ung thư gan, xơ gan và viêm gan. Gần như mọi khổ sở về sức khỏe – từ vấn đề sức khỏe tổng thể, vấn đề về tiêu hóa, bất ổn về cảm xúc, tăng cân bất thường, cao huyết áp, vấn đề tim mạch, sương mù não, vấn đề về da, tới các bệnh mạn tính và tự miễn khác – đều có nguồn gốc sâu xa từ một lá gan bị tổn thương.Cơ thể tự chữa lành - Giải cứu gan mang tới cho người đọc lời giải và cách xử lý khi phải đối mặt với nhiều thách thức về thể chất cũng như tinh thần. Với lòng trắc ẩn sâu sắc, Anthony William đã hào phóng chia sẻ với tất cả chúng ta những thông tin độc nhất vô nhị về hàng ngàn chức năng bí ẩn của gan, giải thích nguyên nhân cốt tủy của hàng loạt vấn đề sức khỏe đang kìm hãm chúng ta, đồng thời hướng dẫn chi tiết cách khắc phục và giải quyết chúng, để ta có thể sống thực sự khỏe mạnh và hạnh phúc.Tìm hiểu cách thức giải cứu gan chính là chuẩn bị cho bản thân một tâm trí rõ ràng, một tinh thần ổn định và một thân thể khỏe mạnh để ứng phó với cuộc sống tất bật và đầy rẫy khó khăn hiện nay. Học cách giải cứu gan còn là học cách ngủ ngon, cân bằng đường huyết, hạ huyết áp, giảm cân, và trông tươi trẻ hơn.Một lá gan khỏe mạnh sẽ là đồng minh trung thành và tận tụy của chúng ta trên hành trình đến với con người tốt đẹp nhất của mìnhMời bạn đón đọc! ",250.0, 23 x 18 cm , 11/2020 , Ngô Thế Vinh , Huy Hoàng , NXB Thanh Niên ,624.0, Anthony William , Bìa mềm 
Cẩm Nang Chăm Sóc Răng Miệng Toàn Diện,https://www.vinabook.com/images/thumbnails/product/240x/363402_p92720mhhbiacamnangchamsocrangmienge08309d830fb47dfb75c648bf2b2b208compact.jpg,Y học thường thức,"  Thông tin tác giả    Nadine Artemis     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Chia sẻ 8 bước tự chăm sóc răng miệng hiệu quả, bật mí sự thật về kem đánh răng, bàn chải và nước súc miệng, khám phá các chiết xuất thực vật hữu ích bảo vệ răng miệng. Với những kiến thức bao quát mới mẻ, Cẩm nang chăm sóc răng miệng toàn diện sẽ giúp bạn đưa ra được những quyết định sáng suốt để giữ gìn sức khỏe  lâu dài cho răng miệng: bạn sẽ thấy nướu khỏe hơn, răng trắng sáng hơn và hơi thở luôn thơm mát mỗi ngày.Mời bạn đón đọc! ",78.0, 13.5 x 20.5 cm , 11/2020 ,, Huy Hoàng , NXB Thanh Niên ,216.0, Nadine Artemis , Bìa mềm 
Ăn Là Nguồn Yêu Sống,https://www.vinabook.com/images/thumbnails/product/240x/363382_p92714mhhbiaanlanguonyeusong.jpg,Y học thường thức,"  Thông tin tác giả    Jenna Hollenstein     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ăn là nguồn yêu sống dành cho vấ cứ ai đang phải vật lộn với thói quen ăn uống theo cảm xúc, mắc chứng rối loạn ăn uống và thiếu tự tin về hình thể. Là giáo viên dạy thiền và chuyên gia hàng đầu về Dinh dưỡng trực quan, Jenna Hollenstein đã chuyển những giáo lý Phật giáo cũng như khoa học về hành thiền và trưởng dưỡng lòng trắc ẩn thành một chỉ dẫn dễ-hiểu-và-dễ-theo để thúc đẩy hành trình Ăn là nguồn yêu sống của chúng ta.Mời bạn đón đọc! ",145.0, 20.5 x 13.5 cm , 11/2020 , Jenna Hollenstein , Huy Hoàng , NXB Phụ Nữ ,432.0, Jenna Hollenstein , Bìa mềm 
Ăn Gì Cho Không Độc Hại (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/363088_p92639mnxbtrethumb16302020093002.jpg,Y học thường thức,"  Thông tin tác giả    Pha Lê     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Dinh dưỡng là một đề tài rối rắm . Không chỉ là chuyện ăn, nó còn gắn liền với khoa học, văn hóa, truyền thống, sức khỏe, cảm giác được chăm sóc, sự no ấm, sự hạnh phúc… Chính vì phức tạp nên nó dễ bị hiểu sai, và thông tin về nó dễ bị lợi dụng.Trong tình cảnh đó, cuốn sách này ra đời với hy vọng giúp những ai đang băn khoăn trước mớ thông tin về dinh dưỡng đang chất đống như mặt hàng trên kệ siêu thị được yên tâm. Yên tâm để biết mình nên lựa thông tin nào đem về nhà. Yên tâm để điềm tĩnh trước những thông tin, nghiên cứu mới về chất nọ vitamin kia cứ ồ ạt sinh sôi mỗi ngày - những thứ khiến mình nghi ngờ rằng cả nhà mình lẫn tổ tiên mình trước đây đều ăn uống sai bét.Tôi không có ý định thay đổi gì ai. Quá nhiều người đang muốn làm chuyện này rồi. Cuốn sách chỉ đưa ra hướng dẫn, giúp người muốn tìm hiểu về sức khỏe và môi trường có một cái nhìn khác. Tức tôi có thể đưa ra hướng cho người đọc yên tâm đi, nhưng đầu tiên họ phải muốn đi cái đã."" (Pha Lê)Cuốn sách là câu chuyện thú vị và bổ ích về thực dưỡng, ăn chay, thực phẩm hữu cơ",100.0, 15.5 x 23 cm , 10/2020 ,, NXB Trẻ , Nxb Trẻ ,320.0, Pha Lê , Bìa mềm 
