,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng, ngôn ngữ, người dịch
10,Lập Trình Gia Công Khuôn Nâng Cao Với Mastercam 10 - 12 (Dùng Kèm Đĩa CD),https://www.vinabook.com/images/thumbnails/product/240x/28036_34539.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Mai Thị Hải 
                                                                                                                                            Mai Thị Hải
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Quang Huy 
                                                                                                                                            Quang Huy
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Phương pháp học và thực hành, sử dụng MASTERCAM giúp bạn nhanh chóng khai thác và ứng dụng chương trình đầy quyền năng MASTERCAM 10 & 12 trong gia công khuôn. Với các hướng dẫn từng bước, trình bày thông qua các hình ảnh minh hoạ trực quan chụp từ màn hình máy tính, giúp các bạn tiết kiệm được nhiều thời gian sử dụng để sử dụng có hiệu quả với chương trình MASTERCAM. Sách trình bày chủ yếu là thực hành. Từng bài tập là những vấn đề cơ bản trong thiết kế cơ khí – gia công khuôn. Với hơn 1000 hình ảnh minh hoạ trực quan sẽ giúp bạn đọc nắm vững các công cụ và lệnh của chương trình, tiếp thu nhanh, nhớ lâu, học tới đâu thực hành tới đó. Một cuốn sách không thể thiếu được với các kỹ sư Cơ khí, Cơ khí động lực, Cơ – Điện tử, Giao thông vận tải, Tự động hoá và nhiều hơn nũa để khai thác có hiệu quả chương trình gia công khuôn trên máy CNC đầy quyền năng, ứng dụng trong nhiều lĩnh vực kỹ thuật khác nhau.                                          Mục lục: Lời giới thiệu Bài tập 1: Vẽ vấu mâm cặpBài tập 2: Vẽ thân mâm cặpBài tập 3: Gia công thân mâm cặpBài tập 4: Vẽ khối chêmBài tập 5: Gia công khối chêmBài tập 6: Ghi kích thướcBài tập 7: Gia công bánh răngBài tập 8: Vẽ khuôn gối trụBài tập 9: Vẽ tấm đệmBài tập 10: Gia công tấm đệmBài tập 11: Vẽ khuôn đơn giảnBài tập 12: Gia công khuôn đơn giảnBài tập 13: Vẽ khối với SolidworksBài tập 14: Gia công chi tiết vẽ từ Solidworks Phụ lục A: Cài đặt Mastercam 10 Phụ lục B: Cài đặt Mastercam 12 Phụ lục C: Giới thiệu sách Visual Nastran Mời bạn đón đọc.   ",75.000,,,,,,,,,,,,, 440.00 gam , 14.5 x 20.5 cm ,, 03/2009 , Thuận tâm huy , NXB Hồng Đức , 416 ," Mai Thị Hải , Quang Huy ", Bìa mềm ,,
11,Kỹ Thuật Sản Xuất Trong Chế Tạo Máy - Phần 2,https://www.vinabook.com/images/thumbnails/product/240x/28226_34729.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Nguyễn Thế Đạt     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Cuốn sách này trình bày về một số phương pháp gia công tính chủ yếu như mài, khôn, nghiền. Theo tiêu chuẩn của Cộng hoà Liên bang Đức nó thuộc mục 3.3. Các phương pháp gia công với dụng cụ cắt có lưỡi cắt không xác định. Cách trình bày của từng phương pháp gia công trong cuốn sách này xuất phát từ bản chất động học của một quá trình gia công để nghiên cứu các yếu tố ảnh hưởng của quá trình đến kết quả gia công và những vấn đề còn tồn tại. Từ đó có thể khống chế, điều chỉnh các đại lượng ảnh hưởng để có thể đạt được chất lượng và năng suất gia công theo yêu cầu. Ngoài yêu cầu về chất lượng gia công, vấn đề kinh tế cũng được đề cập đến, đặc biệt là ở các phương pháp gia công tinh thì chi phí sản xuất đòi hỏi rất cao. Nội dung cuốn sách bao gồm: Phần mở đầu Những khái niệm cơ bản khi gia công bằng dụng cụ cắt có lưỡi cắt không xác định Kết cấu và thành phần của dụng cụ mài. Mài với đá mài tròn Chuẩn bị đá mài trước khi đưa vào sử dụng Giám sát quá trình mài Vật liệu bôi trơn làm lạnh Mài bằng băng mài Khôn Nghiền Sách có thể dùng cho sinh viên các ngành cơ khí và các ngành có liên quan, các cán bộ hoạt động trong lĩnh vực cơ khí, dùng để học tập, nghiên cứu, tham khảo và ứng dụng trong sản xuất. Mời bạn đón đọc. ",52.000,,,,,,,,,,,,, 440.00 gam , 16 x 24 cm ,, 03/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 336 , Nguyễn Thế Đạt , Bìa mềm ,,
12,Đồ Gá,https://www.vinabook.com/images/thumbnails/product/240x/28227_34730.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Trần Văn Địch     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Hiện nay, công việc thiết kế và chế tạo toàn bộ trang bị công nghệ (trong đó đồ gá là chủ yếu) cho một sản phẩm cơ khí có thể chiếm tới 80% khối lượng lao động của quá trình sản xuất trong điều kiện sản xuất thông thường. Tuy nhiên, để có thể thiết kế và chế tạo được đồ gá thì kỹ sư cơ khí phải có kiến thức sâu về nguyên lý và kết cấu đó của đồ gá. Cuốn sách “Đồ gá” này được biên soạn để làm tài liệu học tập cho môn “Đồ gá” trong chương trình đào tạo kỹ sư cơ khí hệ đại học. Ngoài ra, nó còn dùng làm tài liệu cho cán bộ kỹ thuật tại các nhà máy cơ khí và các xí nghiệp sửa chữa thiết bị công nghệ khác nhau. Các học viên cao học hoặc nghiên cứu sinh cũng có thể dùng tài liệu này để thiết kế và chế tạo các mô hình thí nghiệm phục vụ cho đề tài nghiên cứu của mình. Mục lục: Lời nói đầu Chương 1: Phân loại đồ gá Chương 2: Gá đặt chi tiết trên đồ gá Chương 3: Cơ cấu định vị của đồ gá Chương 4: Kẹp chặt và các cơ cấu kẹp chặt Chương 5: Các cơ cấu khác của đồ gá Chương 6: Một số đồ gá gia công điển hình Chương 7: Tự động hoá đồ gá và đồ gá trên dây chuyền tự động Chương 8: Đồ gá lắp ráp Chương 9: Đồ gá kiểm tra Chương 10: Dụng cụ phụ Chương 11: Thiết kế đồ gá chuyên dùng Chương 12: Tiêu chuẩn hoá và vạn năng hoá đồ gá Chương 13: Đặc điểm của chế tạo và kiểm tra đồ gá Chương 14: Hiệu quả kinh tế của đồ gá Chương 15: Đồ gá trên máy CNC Chương 16: Hướng phát triển của đồ gá Phụ lục Tài liệu tham khảo Mời bạn đón đọc.   ",54.000,,,,,,,,,,,,, 320.00 gam , 16 x 24 cm ,, 06/2009 , NXB KHKT , NXB Khoa học và kỹ thuật , 268 , Trần Văn Địch , Bìa mềm ,,
13,Cơ Sở Công Nghệ Chế Tạo Máy - Tái bản 07/08/2008,https://www.vinabook.com/images/thumbnails/product/240x/26983_33453.jpg,Cơ khí - Chế tạo máy,,"    Các ngành kinh tế nói chung và ngành cơ khí nói riêng luôn luôn đòi hỏi các kỹ sư cơ khí và cán bộ kỹ thuật cơ khí được đào tạo ra phải có kiến thức cơ bản tương đối rộng. Đồng thời họ phải biết vận dụng những kiến thức đó để giải quyết những vấn đề cụ thể thường gặp trong sản xuất, sửa chữa và sử dụng. Môn học cơ sở công nghệ chế tạo máy có vị trí quan trọng trong chương trình đào tạo kỹ sư và cán bộ kỹ thuật về thiết kế, chế tạo các loại máy và các trang bị cơ khí phục vụ các ngành kinh tế như công nghiệp, nông nghiệp, gaio thông vận tải, điện lực, dầu khí, v.v… Mục tiêu của môn học là tạo điều kiện cho người học nắm vững và vận dụng có hiệu quả các phương pháp thiết kế, xây dựng và quản lý các quá trình chế tạo sản pẩhm cơ khí về kỹ thuật và tổ chức sản xuất nhằm đạt được các chỉ tiêu kinh tế kỹ thuật theo yêu cầu trong điều kiện và quy mô sản xuất cụ thể. Môn học còn truyền đạt những yêu cầu về chỉ tiêu công nghệ cần thiết nhằm nâng cao tính công nghệ trong quá trình thiết kế các kết cấu cơ khí để góp phần nâng cao hiệu quả chế tạo chúng. Ngày nay cuộc cách mạng khoa học kỹ thuật trên thế giới đang phát triển với tốc độ rất nhanh, đưa tới những thành tựu mới trong chế tạo cơ khí như các hệ thống tự động hoá sản xuất trong đó có kỹ thuật sản xuất linh hoạt dùng tay máy - người máy, công nghệ gia công trên các máy điều khiến số CNC, hệ thống sản xuất tích hợp CIM, v.v… Song những kỹ thuật mới này cũng đều xuất phát từ những lý thuyết kinh điển của công nghệ chế tạo máy đã hình thành và phát triển từ hơn một thế kỷ nay. Vì vậy mà những kiến thức cơ bản kinh điển này không thể thiếu được trong chương trình đào tạo các kỹ sư và cán bộ kỹ thuật cơ khí. Sách được dùng làm tài liệu giảng dạy và học tập cho sinh viên các ngành cơ khí trong các trường đại học kỹ thuật. Ngoài ra nó còn dùng làm tài liệu tham khảo cho các cán bộ kỹ thuật cơ khí, các học viên cao học và các nghiên cứu sinh thuộc lĩnh vực cơ khí chế tạo. Mục lục:  Lời nói đầu Chương 1: Những khái niệm cơ bản Chương 2: Chất lượng bề mặt chi tiết máy Chương 3: Độ chính xác gia công Chương 4: Chuẩn Chương 5: Đặc trưng các phương pháp gia công Chương 6: Thiết kế quá trình công nghệ gia công chi tiết máy Chương 7: Tối ưu hoá quá trình cắt gọt Chương 8: Tiêu chuẩn hoá quá trình công cộng Chương 9: Công nghệ gia công chi tiết điển hình Chương 10: Công nghệ lắp ráp các sản phẩm cơ khí Mời bạn đón đọc ",120.000,,,,,,,,,,,,, 590.00 gam , 16 x 24 cm , 8935048980354 , 07/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 496 ,, Bìa mềm ,,
14,Lý Thuyết Động Cơ Đốt Trong,https://www.vinabook.com/images/thumbnails/product/240x/23761_30218.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Phạm Minh Tuấn 
                                                                                                                                            Phạm Minh Tuấn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Môn “Lý thuyết động cơ đốt trong” là môn học cung cấp những kiến thức cơ bản và cốt lõi nhất của chuyên ngành Động cơ đốt trong Động cơ đốt trong là một loại động cơ nhiệt. Động cơ nhiệt là một loại máy biến đổi nhiệt năng của nhiên liệu thành cơ năng. Có thể phân quá trình công tác của động cơ nhiệt thành hai quá trình cơ bản như sau: - Đốt cháy nhiên liệu, giải phóng hoá năng thành nhiệt năng và gia nhiệt cho môi chất công tác. Trong giai đoạn này xảy ra các hiện tượng lý hoá rất phức tạp. - Biến đổi trạng thái của môi chất công tác, hay nói cách khác, môi chất công tác thực hiện chu trình nhiệt động để biến đổi một phần nhiệt năng thành cơ năng. Trên cơ sở đó có thể phân loại động cơ nhiệt thành hai loại chính là động cơ đốt ngoài và động cơ đốt trong. Ờ động cơ đốt ngoài, ví dụ máy hơi nước cổ điển trên tàu hoả, hai giai đoạn trên xảy ra ở hai nơi khác nhau. Giai đoạn thứ nhất xảy ra tại buồng đốt và nồi xúpde, kết quả được hơi nước có áp suất và nhiệt độ cao. Còn giai đoạn thứ hai là quá trình giãn nở của hơi nước trong buồng công tác và sinh công làm quay bánh xe. Còn ở động cơ đốt trong, hai giai đoạn trên diễn ra tại cùng một vị trí, đó là bên trong buồng công tác của động cơ… Cuốn sách này được biên soạn nhằm giúp sinh viên tài liệu tham khảo trong quá trình học môn Lý thuyết động cơ đốt trong. Trong cuốn sách, tác giả đã cố gắng thể hiện tính kế thừa những giáo trình, tài liệu truyền thống của chuyên ngành, đồng thời cập nhật những kiến thức hiện đại đang được áp dụng rộng rãi trong thực tế về công nghệ động cơ đốt trong. Mục lục: Lời nói đầu Chương 1: Khái quát về động cơ đốt trong Động cơ đốt trong là một loại động cơ nhiệt So sánh động cơ đốt trong với các động cơ nhiệt khác Phân loại động cơ đốt trong Đại cương về nguyên lý làm việc của động cơ đốt trong Chương 2: Chu trình lý tưởng của động cơ đốt trong Những khái niệm cơ bản Các chu trình lý tưởng thông dụng Các yếu tố ảnh hưởng đến hiệu suất nhiệt và áp suất trung bình của chu trình lý tưởng So sánh hiệu suất chu trình hỗn hợp và đẳng tích Chương 3: Môi chất công tác Nhiên liệu Phản ứng cháy của nhiên liệu và sản vật cháy Tỷ nhiệt của môi chất công tác Chương 4: Chu trình thực tế của động cơ đốt trong Quá trình nạp Quá trình nén Quá trình cháy Quá trình giản nỡ Quá trình thải Tính toán mổ phỏng chu trình làm việc của động cơ Chương 5: Những thông số chỉ thị, có ích và cân bằng nhiệt Những thông số chỉ thị Những thông số có ích Cân bằng nhiệt Chương 6: Trao đổi môi chất trong động cơ hai kỳ Các hệ thống quét thải của động cơ hai kỳ Pha phối khí và tiết diện thời gian Diễn biến quá trình trao đổi khí và các thông số cần thiết khi tính toán Tính toán lý thuyết quá trình trao đổi môi chất Chương 7: Hình thành hoà khí trong động cơ đốt trong Hình thành hoà khí trong động cơ xăng Hình thành hoà khí trong động cơ diesel Hình thành hoà khí đồng nhất đốt cháy do nén Chương 8: Đặc tính động cơ Chế độ làm việc và các đặc tính của động cơ đốt trong Đặc tính điều chỉnh Đặc tính tốc độ Đặc tínhh chân vịt Đặc tính tải Đặc tính không tải Đặc tính điều tốc Cải thiện đặc tính tốc độ động cơ Tài liệu tham khảo Mời bạn đón đọc. ",63.000,,,,,,,,,,,,, 320.00 gam , 19x27 cm , 8935048981665 , 09/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 186 , Phạm Minh Tuấn , Bìa mềm ,,
15,Kỹ Thuật Đo Trong Động Cơ Đốt Trong Và Ô Tô,https://www.vinabook.com/images/thumbnails/product/240x/23759_30216.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Võ Nghĩa     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Trần Quang Vinh    
                                                                                                                                                Nguyên quán làng Cẩm Khê, huyện Cẩm Giàng, tỉnh Hải Dương. Sinh ra và lớn lên ở làng Cốc, huyện Yên Hưng, tỉnh Quảng Ninh. Định cư ở TP. Vũng Tàu từ năm 1990. Tác phẩm chính đã xuất bản: Sống lại ngày đã chết Vòng đời bé nhỏ Nợ tiền kiếp Đứa con của thần ",90.000,,,,,,,,,,,,, 440.00 gam , 19x27 cm , 8935048981078 , 09/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 278 ," Võ Nghĩa , Trần Quang Vinh ", Bìa mềm ,,
16,Cơ Khí Đại Cương,https://www.vinabook.com/images/thumbnails/product/240x/23741_30198.jpg,Cơ khí - Chế tạo máy,," Cơ khí đại cương là môn học cơ sở liên quan đến kiến thức chung của mọi ngành kinh tế trong hệ thống đào tạo đại học, cao đẳng và dạy nghề. Nội dung của môn học bao gồm những khái niệm cơ bản về vật liệu kim loại, các hợp kim thông dụng và các vật liệu phi kim loại; những quy trình công nghệ gia công và xử lý kim loại bằng các phương pháp công nghệ khác nhau. “Cơ khí đại cương” sẽ giúp cho sinh viên dễ dàng tiếp cận với các môn học kỹ thuật tiếp theo, trang bị cho sinh viên những thuật ngữ kỹ thuật, những khái niệm cơ bản liên quan đến các môn học kế tiếp của hầu hết các ngành kỹ thuật. Cuốn “Cơ khí đại cương” được biên soạn theo chủ trương đào tạo hai giai đoạn của Bộ Giáo dục và Đào tạo đang áp dụng trong các trường đại học của nước ta. Nó là một trong các môn học cơ sở cần thiết nhất mà tất cả các trường đại học và cao đẳng kỹ thuật đều phải đưa vào chương trình giảng dạy. Những năm qua cuốn sách này đã được sử dụng rộng rãi trong học tập và giảng dạy. Mục lục: Phần thứ nhất: Khái niệm chung Chương một: Những khái niệm cơ bản về sản xuất cơ khí Phần thứ hai: Vật liệu dùng trong cơ khí Chương hai: Khái niệm cơ bản về kim loại và hợp kim Chương ba: Vật liệu phi kim loại Phần thứ ba: Công nghệ xử lý nhiệt kim loại Chương bốn: Nhiệt luyện kim loại Chương năm: Hoá nhiệt luyện kim loại Phần thứ bốn: Luyện kim Chương sáu: Luyện gang và thép Phần thứ năm: Các phương pháp chế tạo phôi Chương bảy: Sản xuất đúc Chương tám: Gia công kim loại bằng áp lực Chương chín: Hàn và cắt kim loại bằng nhiệt Phần thứ sáu: Gia công cắt gọt kim loại Chương mười: Nguyên lý cắt gọt kim loại Chương mười một: Máy công cụ Phần thứ bảy: Xử lý và bảo vệ bề mặt kim loại Chương mười ba: Khái niệm chung về xử lý bề mặt kim loại Tài liệu tham khảo. Mời bạn đón đọc.  ",43.000,,,,,,,,,,,,, 350.00 gam , 16x24 cm , 8935048980040 , 03/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 264 ,, Bìa mềm ,,
17,"Thép Hợp Kim, Hợp Kim - Quy Trình Công Nghệ Sản Xuất",https://www.vinabook.com/images/thumbnails/product/240x/23734_30191.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Trần Văn Dy     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Quyển sách “Thép hợp kim, hợp kim - quy trình công nghệ sản xuất” để: - Làm giáo trình cho cán bộ giảng dạy và sinh viên ngành kỹ thuật gang thép hệ chính quy và tại chức trong các Trường Đại học công nghiệp. - Làm tài liệu cơ bản cho cán bộ kỹ thuật và công nhân ở các nhà máy luyện kim nắm vững cơ sở lý thuyết sản xuất thép hợp kim trên thế giới và trong nước. Quyển sách “Thép hợp kim, hợp kim - quy trình công nghệ sản xuất” được đề cập đến các nội dung chủ yếu sau: Phần I - Tổng quan về thép hợp kim và quá trình phát triển sản xuất chúng. Phần II - Cơ sở lý thuyết và hợp kim hoá và cơ sở lý thuyết về ăn mòn kim loại nhằm tăng cường sản xuất các chủng loại thép hợp kim và hợp kim, đồng thời đẩy mạnh biện pháp tiết kiệm kim loại, đặc biệt là loại thép có hàm lượng nguyên tố hợp kim cao đắt tiền bằng cách chế biến và sử dụng chúng một cách hợp lý trong các mội trường ăn mòn khác nhau. Phần III - Biết rõ các chủng loại thép hợp kim và hợp kim chuyên dùng nắm vững tính chất và tổ chức của từng loại thép hợp kim, đồng thời biết được các quy chuẩn kỹ thuật của chúng trên thế giới và trong nước. Phần IV - Nghiên cứu các quy trình công nghệ sản xuất cụ thể một số thép hợp kim, hợp kim thông thường và đặc biệt, do đó biết áp dụng công nghệ sản xuất thép hợp kim thích hợp ở các nhà máy luyện thép trong nước. Mục lục:  Lời nói đầu Phần 1: Tổng quát về thép hợp kim và lịch sử phát triển sản xuất thép hợp kim trên thế giới và ở Việt Nam Chương 1: Mở đầu Chương 2: Quá trình phát triển sản xuất thép hợp kim trên thế giới và ở Việt Nam Chương 3: Tác dụng của nguyên tố hợp kim và phân loại thép hợp kim Phần 2: Cơ sở lý thuyết về hợp kim hóa và về ăn mòn kim loại Chương 1: Quy luật hoà tan của các nguyên tố trong dung dịch đặc nền sắt  Chương 2: Quy luật tạo thành Cacbit và Nitric trong thép hợp kim Chương 3: Quy luật tạo thành pha hợp chất giữa các kim loại trong thép hợp kim Chương 4: Cơ sở lý thuyết về sự chuyển biến pha, tính chất và tổ chức của thép hợp kim Chương 5: Cơ sở lý thuyết về ăn mòn kim loại Chương 6: Cơ sở lý thuyết về ăn mòn điện hoá Chương 7: Nguyên lý sản xuất thép chống môi trường ăn mòn Phần 3: Thép hợp kim và hợp kim thông dụng Chương 1: Thép kết cấu để chế tạo máy và xây dựng Chương 2: Thép dụng cụ Chương 3: Thép hợp kim có độ cứng cao và tính năng đặc biệt Chương 4: Thép hợp kim không gỉ hay gọi là thép không gỉ Chương 5: Thép và hợp kim kỹ thuật điện Phần 4: Quy trình công nghệ sản xuất thép hợp kim và hợp kim tiêu biểu Chương 1: Quy trình công nghệ sản xuất thép hợp kim đàn hồi Mác 65Mn Chương 2: Quy trình công nghệ sản xuất thép ổ bi Mác IIIX15 Chương 3: Quy trình công nghệ sản xuất thép hợp kim Mangan cao, Mác Mn13Đ trong lò điện hổ quang Bazơ với dung lượng 3000 kg/ Mẻ thép tại nhà máy quân đội Z - 127 Chương 4: Quy trình công nghệ sản xuất thép gió đặc biệt Chương 5: Quy trình công nghệ sản xuất thép hợp kim không gỉ trên thế giới và ở Việt Nam Tài liệu tham khảo. Mời bạn đón đọc.  ",98.000,,,,,,,,,,,,, 500.00 gam , 16x24 cm , 8935048981641 , 09/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 372 , Trần Văn Dy , Bìa mềm ,,
18,Giáo Trình CAD Trong Kỹ Thuật Điện (Dùng Kèm 1 Đĩa CD),https://www.vinabook.com/images/thumbnails/product/240x/23256_29706.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Quyền Huy Ánh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Giáo Trình CAD Trong Kỹ Thuật Điện (Dùng Kèm 1 Đĩa CD): Ngày nay, thiết kế với sự trợ giúp của máy tính (CAD-Computer Aided Design) là kỹ thuật và kỹ thuật không thể thiếu đối với những người làm công tác thiết kế trong nhiều lãnh vực của cuộc sống. với CAD, người thiết kế có thể nâng cao chất lượng dự án thiết kế, đồng thời giảm chi phí không những về nhân lực mà còn về tài chính và vật lực. CAD hiện là công cụ thiết kế rất hiệu quả của các nhà thiết kế, các công ty thiết kế cấp cao và chuyên nghiệp. Đối với các sinh viên, kỹ sư trong ngành kỹ thuật điện, nếu được trang bị kiến thức chuyên ngành vững và có kỹ năng sử dụng máy tính tốt thì đó là điều thuận lợi để tiếp cận với kỹ thuật CAD. Giáo trình CAD trong kỹ thuật điện được biên soạn nhằm trang bị cho sinh viên khối ngành Công nghệ và khối ngành Kỹ thuật gồm các ngành: Kỹ thuật điện, Điện công nghiệp, Điện - Điện tử….những kiến thức cơ bản về CAD, cách sử dụng và khai thác các phần mềm từ đơn giản đến chuyên nghiệp trong lãnh vực kỹ thuật điện. Giáo trình này cũng được sử dụng làm tài liệu hỗ trợ cho sinh viên trong việc thực hiện đồ án tốt nghiệp, đồ án môn học, hỗ trợ cho các kiến trúc sư, các kỹ sư xây dựng, các chuyên viên tư vấn thiết kế muốn bổ xung kiến thức về thiết kế hệ thống cấp điện, hệ thống chiếu sáng, hệ thống chống sét và hệ thống nối đất với sự trợ giúp của CAD. Giáo trình này trình bày các kiến thức chuyên ngành được vận dụng trong tính toán, thiết kế và các kỹ năng sử dụng phần mềm CADtương ứng. Nội dung bao gồm 8 chương và 2 phụ lục: Chương 1: Tổng quan về CAD: Cung cấp các khái niệm chung, các khả năng, sơ đồ cấu trúc của CAD, hướng dẫn cách lựa chọn phần mềm CAD và một số vấn đề cần quan tâm khi khai thác và sử dụng phần mềm CAD. Chương 2: Phần mềm thiết kế mạng phân phối điện ECODIAL, trình bày các phương pháp tính toán được sử dụng trong phần mềm ECODIAL, lưu đồ thiết kế, cách khai thác và sử dụng phần mềm ECODIAL và ví dụ minh hoạ Chương 3: Phần mềm nối đất GEM: giới thiệu phần mềm GEM, các phương pháp tính toán nối đất được sử dụng trong phần mềm GEM, lưu đồ thiết kế, cách khai thác và sử dụng phần mềm GEM và ví dụ minh hoạ Chương 4: Phần mềm thiết kế chống sét BENJI: giới thiệu phần mềm  BENJI, các phương pháp tính toán sử dụng trong phần mềm BENJI, lưu đồ thiết kế, cách khai thác, sử dụng phần mềm BENJI và ví dụ minh hoạ. Chương 5: Phần mềm thiết kế chiếu sáng VISUAL: giới thiệu phần mềm  VISUAL, các phương pháp tính toán sử dụng trong phần mềm VISUAL, lưu đồ thiết kế, cách khai thác, sử dụng phần mềm VISUAL và ví dụ minh hoạ. Chương 6: Phần mềm vẽ kỹ thuật Microsoft Office Visio: giới thiệu phần mềm Microsoft Office Visual, lưu đồ các bước thực hiện, cách khai thác, sử dụng phần mềm Microsoft Office Visual và ví dụ minh hoạ. Chương 7: Giới thiệu một số phần mềm CAD chuyên nghiệp: Giới thiệu một số phần mềm CAD chuyên nghiệp thiết kế và mô phỏng trong lãnh vực kỹ thuật điện như: DOCWin, MELSHORT2, VISUAL Professional,… Chương 8: Thiết kế cung cấp điện cho phân xưởng cơ khí: Hướng dẫn sử dụng các phần mềm CAD để thiết kế hoàn chỉnh một dự án thiết kế cung cấp điện cho mạng phân phối trung áp và hạ áp cho một phân xưởng cơ khí và cách thức lập các bản báo cáo thiết kế cần thiết. Phụ lục 1: Giới thiệu các bản vẽ thiết kế mặt bằng, động lực, chiếu sáng, chống sét, nối đất, sơ đồ nguyên lý phân phối điện, sơ đồ nguyên lý chiếu sáng, các bản vẽ tủ phân phối chính, tủ phân phối phụ…. Phụ lục 2: Trình bày catalog kỹ thuật của thiết bị được lựa chọn trong dự án thiết kế cung cấp điện được thực hiện trong chương 8 như catalog: Máy biến áp, máy phát dự phòng, các thiết bị đóng cắt bảo vệ, các tủ điện, bộ tụ bù …. Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 720.00 gam , 19x27 cm ,, 08/2008 , Võ Xuân Trường , Nxb Đại học Quốc gia TPHCM , 360 , Quyền Huy Ánh , Bìa mềm ,,
19,Hỏi Đáp Về Dập Tấm Và Cán Kéo Kim Loại,https://www.vinabook.com/images/thumbnails/product/240x/22381_28817.jpg,Cơ khí - Chế tạo máy,,"  Thông tin tác giả    Nguyễn Mậu Đằng 
                                                                                                                                            Nguyễn Mậu Đằng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Đỗ Hữu Nhơn 
                                                                                                                                            Đỗ Hữu Nhơn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hỏi Đáp Về Dập Tấm Và Cán Kéo Kim Loại: Dập, tấm và cán, kéo kim loại là các quy trình gia công kim loại là các quy trình gia công kim loại rất kinh tế và đang phổ biến trên đất nước ta. Nhưng tài liệu về các phương pháp gia công trên còn quá ít. Để giúp các cơ sở sản xuất quy mô nhà nước, các công ty, các trường và cơ sở dạy nghề, hợp tác xã và gia đình nắm vững thêm cách gia công kim loại bằng áp lực và giải quyết những vướng mắc thông thường về công nghệ này. Tác giả biên soạn cuốn “Hỏi đáp về dập, tấm và cán, kéo kim loại”. Cuốn sách gồm 87 câu hỏi và trả lời, có hình vẽ minh họa chủ yếu về công nghệ. Mục lục: Phần 1: Cán nóng hình thép Cách tính và chọn số lần cán (từ câu 1 đến câu 4) Nhiệt độ nung phôi, nhiệt độ cán và kết thúc cán (từ câu 5 đến câu 11) Chọn máy cán. Thiết kế máy cán và hệ thống (từ câu 12 đến câu 22) Công nghệ cán, tốc độ cán (từ câu 23 đến câu 26) Kích thước trục cán và bạc lót. Vật liệu làm trục và bạc lót (từ câu 27 đến câu 30) Phần 2: Một số hiểu biết về máy cán tấm Máy cán tấm hai trục ¢100 ÷ ¢300 (từ câu 31 đến câu 33) Nguyên lý cán (từ câu 34 đến câu 39) Sự biến dạng khung giá cán và sự ảnh hưởng của nó đến độ chính xác của sản phẩm (từ câu 40 đến câu 41) Phần 3: Công nghệ cán tấm nóng Những đặc điểm chung (từ câu 42 đến câu 44) Phần 4: Công nghệ cán tấm nguội Những đặc điểm chung (từ câu 45 đến câu 51) Phần 5: Công nghệ kéo thép và kim loại màu (từ câu 52 đến câu 56) Phần 6: Các nguyên công dập tấm Định nghĩa và phân loại các nguyên công dập tấm (từ câu 57 đến câu 60) Cắt tấm kim loại bằng khuôn (từ câu 61 đến câu 67) Đặc điểm và phương pháp tính toán các nguyên công uốn (từ câu 68 đến câu 73) Đặc điểm và phương pháp tính toán công nghệ dập vuốt (từ câu 74 đến câu 84) Một số điểm cần chú ý khi thiết kế các quá trình công nghệ dập (từ câu 85 đến câu 87) Tài liệu tham khảo Mời bạn đón đọc.   ",23.000,,,,,,,,,,,,, 180.00 gam , 14.5x20.5 cm , 8935048980422 , 03/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 156 ," Nguyễn Mậu Đằng , Đỗ Hữu Nhơn ", Bìa mềm ,,
