tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,dịch giả,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa
Ý Tưởng Sáng Tạo - Biến Hóa Cùng Len,https://www.vinabook.com/images/thumbnails/product/240x/244199_p73244mimg466.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Fiona Watt     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách sáng tạo đầy cảm hứng này thực sự sẽ là một cẩm nang rất hữu ích cho bất cứ ai muốn bắt đầu học cách đan những sản phẩm bằng len. Từng bước từng bước cụ thể trong sách sẽ hướng dẫn rõ ràng, chi tiết cho em cách đan các mũi cơ bản, cùng các kỹ thuật đan khác. Ngoài ra, việc chọn lựa que đan, loại len sao cho phù hợp với từng sản phẩm đan cũng được đề cập đến và giải thích hết sức cặn kẽ.Từ những sản phẩm đơn giản như khăn, những chiếc túi nhỏ xinh",99.0, 23.8 x 30.5 cm , 02/2017 , Nguyễn Thị Thùy Dương , Đinh Tị , NXB Thanh Niên ,64.0, Fiona Watt , Bìa cứng 
Day Dreamers - Những Kẻ Mộng Mơ,https://www.vinabook.com/images/thumbnails/product/240x/202342_p67140mdaydreamersnhungkemongmo.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Dzung Yoko    
                                                                                                                                                Dzung Yoko, hay Dũng Yoko, tên thật là Trần Hoàng Dũng, sinh năm 1974 tại Thành phố Hồ Chí Minh, là kiến trúc sư, nhà thiết kế đồ họa, nhiếp ảnh gia, nhà thiết kế thời trang. Anh được biết tới từ rất trẻ với các hoạt động nghệ thuật phong phú. Sau khi tốt nghiệp thủ khoa ",225.0, 18 x 24 cm , 31/12/2015 ,, AZ books , Nxb Mỹ thuật ,208.0, Dzung Yoko , Bìa mềm 
Thiết Kế Thời Trang Nam,https://www.vinabook.com/images/thumbnails/product/240x/48780_55323.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Ngọc Hà 
                                                                                                                                            Ngọc Hà
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Thiết Kế Thời Trang NamNhiều người thường quan niệm, trang phục nam có thiết kế đơn giản và kĩ thuật may ráp dễ dàng hơn so với trang phục nữ. Nhưng sự thực lại khác hẳn. Để thiết kế, cắt may được một bộ trang phục nam đẹp, chuẩn, vừa vặn, phù hợp với cơ thể, hoàn toàn không phải là việc dễ dàng. Đặc biệt là với những trang phục mang tính chính thức, trang trọng như quần Âu, áo sơ mi, comple",95.0, 16 x 24 cm , 2012 ,, Huy Hoàng , Nxb Văn hóa Thông tin ,304.0, Ngọc Hà , Bìa mềm 
Thiết Kế Kết Cấu Trang Phục Nữ,https://www.vinabook.com/images/thumbnails/product/240x/48779_55322.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Ngọc Hà 
                                                                                                                                            Ngọc Hà
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Thiết Kế Kết Cấu Trang Phục NữThiết kế trang phục bao gồm 3 công đoạn, đó là thiết kế tạo hình, thiết kế kết cấu và thiết kế công nghệ. Thiết kế kết cấu trang phục là sự tiếp nối và chi tiết hóa của tạo hình trang phục, đồng thời cũng là bước cơ sở và chuẩn bị cho thiết kế công nghệ",100.0, 16 x 24 cm , 2012 ,, Huy Hoàng , Nxb Văn hóa Thông tin ,328.0, Ngọc Hà , Bìa mềm 
Giáo Trình Vật Liệu May,https://www.vinabook.com/images/thumbnails/product/240x/41994_48537.jpg,Thời trang – may - thêu,  Thông tin tác giả    Chu Bính     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Giáo Trình Vật Liệu MayMục lụcChương 1: Vật liệu dệtChương 2 Cấu tạo và tính chất chung của vảiChương 3: Các loại vải thường dùng trong may mặcChương 4: Vật liệu dệt may và sản phẩm may mặcChương 5: Phương pháp lựa chọn vải và bảo quản hàng may mặc,23.0, 17 x 24 cm , 2010 ,, Kinh Đô 2 , Nxb Lao động ,128.0, Chu Bính , Bìa mềm 
Kỹ Thuật Cắt May Căn Bản,https://www.vinabook.com/images/thumbnails/product/240x/37949_44492.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Quỳnh Hương 
                                                                                                                                            Quỳnh Hương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Kỹ Thuật Cắt May Căn Bản Mục lụcI. Cách đo căn bảnII. Cách vẽ và may các loại váyIII. Cách vẽ và may quần tâyIV. Cách vẽ và may trang phục nữV. Thiết kế mẫuVI. Hướng dẫn may quần áo thiếu nhiVII. Hướng dẫn cắt may các kiểu cổ áo và tay áoMời bạn đón đọc. ",68.0, 19 x 27 cm , 07/2012 ,, Việt Thư , Nxb Văn hóa Thông tin ,224.0, Quỳnh Hương , Bìa mềm 
Thiết Kế Thời Trang Nữ,https://www.vinabook.com/images/thumbnails/product/240x/48778_55321.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Ngọc Hà 
                                                                                                                                            Ngọc Hà
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả      Kỹ thuật cắt may - Thiết kế thời trang nữMột trong những thành phần quan trọng nhất trong thiết kế trang phục là kết cấu trang phục. Đó là cái khung tạo thành hình dáng lập thể của trang phục. Hình thức được thể hiện trên mặt phẳng của kết cấu là bản mẫu trang phục.Thiết kế kết cấu trang phục là sự mở rộng và kéo dài của kết cấu trang phục, kỹ thuật thiết kết cấu trang phục có liên quan mật thiết tới môn toán học. Nó vừa cần phải có kiến thức về toán học và tư duy toán học, càng cần đến phương pháp tư duy mặt phẳng và lập thể nghiêm ngặt, cùng các kỹ xảo thông dụng về hình học",68.0, 13.5 x 20.5 cm , 2013 ,, Huy Hoàng , Nxb Bách khoa Hà Nội ,216.0, Ngọc Hà , Bìa mềm 
Kỹ Thuật Cắt May Cơ Bản - Tập 2 (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/357137_p91073m1.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Ngọc Huyền 
                                                                                                                                            Ngọc Huyền
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách được biên soạn để phục vụ cho kỹ thuật cắt may công nghiệp, nhưng đồng thời cũng thích hợp với thợ may, những bạn đọc có hứng thú với ngành may mặc muốn học tập và nâng cao tay nghề của mình. Chuẩn xác, tiện lợi và mới mẻ là những gì chúng tôi muốn cung cấp cho bạn đọc trong cuốn sách này, và sẽ thực sự hữu ích với các bạn.Tiện lợi trong lựa chọn, mua sắm, với mẫu mã đa dạng, chủng loại phong phú, giá thành hợp lý, trang phục may sẵn đã chiếm lĩnh thị trường trong nước, mặt khác gia công may mặc còn là một ngành xuất khẩu chủ đạo của nước ta. Thiết kế trang phục và công nghiệp may mặc đã trở thành một ngành thu hút ngày càng nhiều bạn trẻ. Nhưng đây cũng là một ngành khó, bởi vì sự kết hợp khăng khít giữa kỹ thuật và mỹ thuật, lại là một ngành mới mẻ nên tài liệu, giáo trình còn khá ít ỏi và nghèo nàn.Mời bạn đón đọc. ",86.0, 16 x 24 cm , 03/2020 ,, Huy Hoàng , Nxb Bách khoa Hà Nội ,216.0, Ngọc Huyền , Bìa mềm 
Mặc Đẹp Kiểu Scandinavian,https://www.vinabook.com/images/thumbnails/product/240x/343253_p88165mmacdep.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Pernille Teisbaek 
                                                                                                                                            Scandinavia từ lâu đã trở thành ngôi nhà của những mẫu thiết kế nội thất nổi bật và các thương hiệu thời trang cổ điển như Acne Studios, Rains và Filippa K. Nhưng không một ai có thể đại diện cho hình mẫu phụ nữ Scandinavia hiện đại chuẩn xác như stylist, blogger và người ",139.0, 16 x 24 cm , 23/07/2019 , Nguyễn Thùy Trang , AZ books , Nxb Thế giới ,192.0, Pernille Teisbaek , Bìa mềm 
Có Phong Cách Riêng,https://www.vinabook.com/images/thumbnails/product/240x/339373_p87724mscan0001.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Nga Linh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Đặng Trầm     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Luôn Hoàn Mỹ - Luôn Thời Thượng - Luôn Hào Nhoáng - Có Phong Cách Riêng“CÓ PHONG CÁCH RIÊNG” – Giản và mộc như chính con người tác giả Đặng Trầm!Nếu bạn nghĩ, thời trang là xa xỉ và sang chảnh, hẳn sẽ phải ngạc nhiên trước những bức hình OOTD mà Đặng Trầm đăng lên facebook mỗi ngày. Một phong cách chẳng xa xôi cầu kỳ. Khi thì chiếc quần jean boyfriend bụi đời, đi cùng giày cao gót đỏ, và chiếc áo sơ mi cài nút lệch hững hờ. Khi thì một bộ đầm hết sức bình thường, tay chiếc giỏ mây như giỏ người ta lùa cá bống. Chính niềm đam mê thời trang là lý do khiến Đặng Trầm sáng lập và xây dựng thành công thương hiệu sách thời trang và phong cách sống STYLORY in sâu trong lòng rất nhiều độc giả. Bên cạnh đó, việc chia sẻ các bức ảnh OOTD mỗi ngày của nữ giám đốc thương hiệu 9x đã truyền cảm hứng cho rất nhiều người phụ nữ xung quanh. Họ không phải những tín đồ thời trang sành sỏi, càng không phải những cô nàng sành điệu. Nhưng hình ảnh Đặng Trầm đăng về outfit mỗi ngày cứ thấm dần trong họ từng ngày từng ngày một. Từ đó họ chẳng thể làm ngơ với những gì mình mặc mỗi ngày. Ồ, hóa ra “phong cách thời trang” chẳng phải được hình thành từ những cái tên thương hiệu. “Phong cách thời trang” chỉ đơn giản là cách mình mặc nó mỗi ngày. Những người phụ nữ nhớ nằm lòng những lưu ý về outfit của Đặng Trầm mà trước đây thường xuyên phạm phải: hễ hở trên thì nhớ kín dưới, hở sau nhớ kín trước một chút, quần jean không nhất thiết phải đi với giày thể thao và áo thun….Đó chính là động lực để Đặng Trầm viết cuốn sách “CÓ PHONG CÁCH RIÊNG”, với mong muốn truyền cảm hứng và sự vui vẻ trong phong cách và thời trang cho thật nhiều phụ nữ hơn nữa. Hơn 200 trang sách, nếu không phải rất đam mê với thứ gọi là phong cách sống, phong cách thời trang, nếu không có tình yêu với cái đẹp, thì sao có thể sắp xếp được những chương sách gọn gàng chỉn chu như thế. Thoạt nhìn, có lẽ nhiều người sẽ tưởng đây là cuốn sách viết về áo quần, về cách phối áo quần cho hợp mốt. Không, thực sự không chỉ như vậy. Một nửa đầu cuốn sách chỉ dành để nói về nụ cười, về ánh mắt, về thần thái, về những điều tạo nên nét đẹp cuốn hút ở người phụ nữ. Hình ảnh, màu sắc, font chữ, mọi thứ vừa chỉn chu vừa tự do không khuôn khổ. Nửa sau cuốn sách chính là một Đặng Trầm qua những gì cô đã viết về outfit, kiên trì chăm chỉ học hỏi từ rất lâu. Nếu có một góc nào đó trong căn phòng được gọi tên “góc đẹp”, hy vọng bạn hãy đặt ngay ngắn cuốn sách này vào. Để rồi một ngày trời ẩm ương hay ngoài kia đường trơn ướt, tụi mình ngồi nhẩn nha đọc lại những trang viết của Đặng Trầm, pha cho mình một ly trà bỏ vào lát cam sấy, mặc một bộ outfit phá cách, cười thiệt tươi, rồi tung tăng xuống phố và nhủ thầm “Dù trời mưa gió em vẫn phải thật xinh”. “Find yourself before you find love”.Mời bạn đón đọc. ",169.0, 16 x 24 cm , 11/06/2019 ,, AZ books , Nxb Thế giới ,256.0," Nga Linh , Đặng Trầm ", Bìa mềm 
Ngành Công Nghiệp Thời Trang,https://www.vinabook.com/images/thumbnails/product/240x/339134_p87687mscan0001.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Amy Odell     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     NGÀNH CÔNG NGHIỆP THỜI TRANG sẽ cung cấp cho bạn hiểu biết về thế giới phù hoa này dưới một góc nhìn thú vị và hài hước, khác hẳn với những gì truyền thông thường tô vẽ.       Bạn biết gì về ngành công nghiệp thời trang?Liệu đây có phải nơi mọi người chỉ thích mặc toàn đen vì cho rằng đây là thứ trang phục thời trang nhất?Hay đây là ngành công nghiệp vận hành theo cách khiến cho người tiêu dùng, nhất là phụ nữ, luôn cảm thấy bản thân mình thua kém – họ cảm thấy mình quá nghèo, quá béo, quá thiếu gợi cảm, quá thiếu gu thẩm mỹ và quá tầm thường ?Dù đúng hay sai, những điều này vốn dĩ chỉ là thứ bạn nhìn thấy được qua truyền thông.Hãy tiếp cận thế giới phù hoa này giới góc nhìn trực diện và thú vịĐược chắp bút bởi Amy Odell – một cựu biên tập viên thời trang với rất nhiều bài viết nổi tiếng, NGÀNH CÔNG NGHIỆP THỜI TRANG sẽ viết về những con người quyền lực nhất: blogger, người dẫn đầu xu hướng, nhà thiết kế, người nổi tiếng, biên tập viên và người mẫu. Đọc xong bạn sẽ hiểu cảm giác bước chân vào thế giới phù hoa đầy rẫy những con người kể trên, những người mà có thể chẳng có điểm chung gì với chúng ta nhưng lại rất bị họ lôi cuốn.Cuốn sách cũng sẽ cho bạn một cái nhìn trực diện vào thế giới khiến chính người nhìn trở nên mụ mẫm, thế giới của tính độc chiếm, của sự sùng bài bản thân không chút sượng sùng và của những ý kiến cực hữu về chuyện thế nào là đẹp hay không đẹp.Thú vị ở điểm, lối viết của Amy vô cùng cuốn hút, khác hẳn với những biên tập viên các tạp chí nổi tiếng – những người đơn thuần chỉ viết minh họa chứ chẳng làm được công việc giải mã thế giới phù hoa này.Mời bạn đón đọc. ",89.0, 14 x 20.5 cm , 06/06/2019 , Hằng Nguyễn , AZ books , Nxb Thế giới ,264.0, Amy Odell , Bìa mềm 
Kỹ Thuật Cắt May Cơ Bản - Tập 1 (Tái Bản 2018),https://www.vinabook.com/images/thumbnails/product/240x/327054_p86127mhhkythuatcatmaycobant1.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Ngọc Huyền 
                                                                                                                                            Ngọc Huyền
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách giới thiệu những mẫu cắt may cơ bản nhất, từ đó có thể giúp người học mở rộng và phát triển thành nhiều mẫu khác nhau. Với những kiến thức cơ sở và cách trình bày dễ hiểu cùng hình vẽ tỉ mỉ, cuốn sách sẽ giúp những độc giả khéo tay có thể tự thiết kế trang phục cho bản thân và các thành viên trong gia đình. Đây cũng là cuốn cẩm nang giúp các thợ may nắm bắt được những bí quyết cắt may giản tiện và hữu ích để tạo ra những sản phẩm hoàn thiện hơn.Mời bạn đón đọc. ",86.0, 16 x 24 cm , 12/2018 ,, Huy Hoàng , Nxb Bách khoa Hà Nội ,216.0, Ngọc Huyền , Bìa mềm 
Em Không Có Gì Để Mặc?,https://www.vinabook.com/images/thumbnails/product/240x/320220_p85256mbia1.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Alexandra Fullerton     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “EM KHÔNG CÓ GÌ ĐỂ MẶC?” – TUYỆT CHIÊU “MẶC ĐẸP KHÔNG CẦN NGHĨ” TỪ STYLIST HÀNG ĐẦU THẾ GIỚI""Nếu bạn bước ra đường vào buổi sáng và bắt gặp một cô gái với vẻ mặt hằn học khó chịu, thì bạn biết sao không? Lý do chính là bởi bộ đồ cô ấy đang mặc.""“Em không có gì để mặc?”Đếm xem bao nhiêu lần bạn phải thốt lên như thế khi đứng trước tủ đồ và loay hoay mất cả tiếng cho mỗi buổi sáng? Những lúc đó bạn nên làm gì? Mường tượng về list đồ dài ngoằng cần mua thêm hay ngán ngẩm mặc một món đồ không ưng ý  ra đường và cáu kỉnh. Nào, bình tĩnh một chút.Bạn biết không, bạn không cần phải có 7 bộ đồ cho 7 ngày, hay một dãy 10 chữ số trong tài khoản để có thể trông thật sành điệu và cá tính!Tất cả những gì bạn cần là cầm cuốn sách này lên và quăng suy nghĩ ""MÌNH CHẲNG CÓ GÌ ĐỂ MẶC"" ra khỏi não.Và tin tôi đi, ngày mai của bạn sẽ khác.Mời bạn đón đọc. ",99.0, 16 x 24 cm , 11/2018 , Skye Phan , Skybooks , Nxb Thế giới ,192.0, Alexandra Fullerton , Bìa mềm 
Kỹ Thuật Móc Len Sợi Căn Bản (Tái Bản 2018),https://www.vinabook.com/images/thumbnails/product/240x/319737_p85213mscan0001.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Quỳnh Hương 
                                                                                                                                            Quỳnh Hương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Quyển sách hứa hẹn sẽ mang đến sự thú vị cho những bạn nữ khéo tay và yêu thích thời trang. Tự tạo một kiểu giỏ xách, nón, áo và khăn quàng xinh xắn..tại sao không chứ? Thỏa sức sáng tạo và diện thật đẹp với Kỹ Thuật Móc Len Sợi. Mời bạn đón đọc. ",52.0, 19 x 26.5 cm , 10/2018 ,, Việt Thư , NXB Hồng Đức ,64.0, Quỳnh Hương , Bìa mềm 
"Kỹ Thuật Móc Len Sợi - Tấm Lót, Thảm, Hoa Trang Trí, Giày, Nón, Giỏ Xách...",https://www.vinabook.com/images/thumbnails/product/240x/298873_p81015mscan0001.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Quỳnh Hương 
                                                                                                                                            Quỳnh Hương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Quyển sách hứa hẹn sẽ mang đến sự thú vị cho những bạn nữ khéo tay và yêu thích thời trang. Tự tạo một kiểu áo len xinh xắn..tại sao không chứ? Thỏa sức sáng tạo và diện thật đẹp với Kỹ Thuật Móc Len Sợi.Mời bạn đón đọc. ",42.0, 19 x 26.5 cm , 12/2016 ,, Việt Thư , NXB Hồng Đức ,48.0, Quỳnh Hương , Bìa mềm 
Cắt May Thời Trang,https://www.vinabook.com/images/thumbnails/product/240x/298875_p81014mscan0002.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Quỳnh Hương 
                                                                                                                                            Quỳnh Hương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Với cuộc sống hiện đại việc may vá không còn quá quan trọng với chị em ngày nay, nhưng ở đâu đó vẫn có niềm đam mê, vẫn có các chị các mẹ muốn tự tay mình may cho chồng, cho con, cho người yêu một bộ quần áo đẹp hay một bộ rèm cửa trang trí ngôi nhà thân yêu, điều đó khiến các chị thấy hạnh phúc!Mời bạn đón đọc. ",49.0, 18.5 x 26.5 cm , 09/2015 ,, Việt Thư , NXB Hồng Đức ,160.0, Quỳnh Hương , Bìa mềm 
Dzung Yoko Artbook II - Tìm Về Phương Đông,https://www.vinabook.com/images/thumbnails/product/240x/261888_p76035mbiatruoc.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Dzung Yoko    
                                                                                                                                                Dzung Yoko, hay Dũng Yoko, tên thật là Trần Hoàng Dũng, sinh năm 1974 tại Thành phố Hồ Chí Minh, là kiến trúc sư, nhà thiết kế đồ họa, nhiếp ảnh gia, nhà thiết kế thời trang. Anh được biết tới từ rất trẻ với các hoạt động nghệ thuật phong phú. Sau khi tốt nghiệp thủ khoa ",225.0, 20.5 x 29.5 cm , 12/06/2017 ,, AZ books , Nxb Thế giới ,216.0, Dzung Yoko , Bìa mềm 
Thiết Kế Thời Trang Nữ - Xuân Hè,https://www.vinabook.com/images/thumbnails/product/240x/246777_p73550mimg168.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Triệu Thị Chơi      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong những năm gần đây,nhà sách online nhu cầu may mặc của phụ nữ ngày càng phong phú và đa dạng. Để giúp các bạn nữ dễ dàng và thuận lợi hơn trong việc chọn được kiểu trang phục đẹp, phù hợp với vóc dáng và môi trường sinh hoạt hàng ngày của mình, chúng tôi đã nghiên cứu, sách Thiết kế thời trang nữ xuân hè biên soạn tập tài liệu này nhằm giới thiệu đến các bạn một số kiểu áo, váy, quần",110.0, 19 x 26 cm , 02/2017 ,, NXB Phụ Nữ , NXB Phụ Nữ ,300.0, Triệu Thị Chơi , Bìa mềm 
Ối Đừng Mặc Xấu,https://www.vinabook.com/images/thumbnails/product/240x/322375_p85524mscan0001.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Clinton Kelly 
                                                                                                                                            Là chuyên gia tư vấn thời trang, được biết đến rộng rãi với vai trò đồng chủ xị của “What Not to Wear” – chương trình thực tế nổi tiếng với những màn lột xác phong cách đầy ấn tượng.Clinton cũng là cây viết tự do cho nhiều tạp chí thời trang khi mới bắt đầu sự ",79.0, 14.5 x 20 cm , 29/11/2018 , Jen , AZ books , Nxb Thế giới ,224.0, Clinton Kelly , Bìa mềm 
Yêu x Sống x Phong Cách,https://www.vinabook.com/images/thumbnails/product/240x/318988_p85100mscan0001.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Garance Doré     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Suốt thời thơ ấu ở đảo Corse, phong cách đối với tôi chính là cuộc tìm kiếm thú tiêu khiển - và rồi nó đã trở thành đường đời của tôi.Hãy để tôi dẫn bước bạn vào chuyến du ngoạn đi tìm hiểu điều cốt lõi của phong cách , bắt đầu từ ngoại hình (mặc áo veste jean thế nào cho đúng điệu) cho tới những gì thầm kín nhất (yêu một ai đó theo cách nào).Từ các quán cà phê ở Paris, trải qua những chuyến đi khắp bốn phương trời, đến những đường phố New York, tôi đẫ hiểu ra rằng phong cách, đó là tất cả những điều vô hình khiến con người tự cảm thấy bản thân mình đẹp và hiện hữu trên thế giới này.Cảnh báo: Cuộc dạo chơi có nguy cơ không hoàn hảo, đôi lúc lại quyến rũ mê hoặc, nhưng đặc biệt (tôi hy vọng!!!) là rất vui.Nào khởi hành thôi.       --Garance Doré--Mời bạn đón đọc. ",199.0, 17.8 x 23 cm , 10/2018 , Linh Quang , Nhã Nam , Nxb Thế giới ,266.0, Garance Doré , Bìa mềm 
Kỹ Thuật Móc Len Sợi Căn Bản,https://www.vinabook.com/images/thumbnails/product/240x/298888_p81013mscan0002.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Quỳnh Hương 
                                                                                                                                            Quỳnh Hương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Quyển sách hứa hẹn sẽ mang đến sự thú vị cho những bạn nữ khéo tay và yêu thích thời trang. Tự tạo một kiểu giỏ xách, nón, áo và khăn quàng xinh xắn..tại sao không chứ? Thỏa sức sáng tạo và diện thật đẹp với Kỹ Thuật Móc Len Sợi. Mời bạn đón đọc. ",45.0, 19 x 26.5 cm , 12/2016 ,, Việt Thư , NXB Hồng Đức ,64.0, Quỳnh Hương , Bìa mềm 
Tự Học Cắt May,https://www.vinabook.com/images/thumbnails/product/240x/298877_p81012mscan0001.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Quỳnh Hương 
                                                                                                                                            Quỳnh Hương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong phần kỹ thuật các bạn sẽ được cung cấp trước tiên là những kỹ thuật may, trong đó, bao gồm các hình thức tạo mũi may thông thường và cơ bản, các đường may tay, may máy, các đường viền, chí, hình thức ráp nối trong khung may, các kiểu và mạng áo quần và cách may chi tiết (của sản phẩm): may cổ áo, bâu cáo, tay áo, túi áo của các kiểu áo…Cuốn sách này rất phù hợp với những người mới học cắt may hoặc chập chững bước vào nghề may.Mời bạn đón đọc. ",68.0, 18.7 x 26.5 cm , 09/2017 ,, Việt Thư , NXB Hồng Đức ,208.0, Quỳnh Hương , Bìa mềm 
Cắt May Căn Bản (Tái Bản 2016),https://www.vinabook.com/images/thumbnails/product/240x/298863_p81011mscan0001.jpg,Thời trang – may - thêu,"  Thông tin tác giả    Triệu Thị Chơi      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Với cuộc sống hiện đại việc may vá không còn quá quan trọng với chị em ngày nay, nhưng ở đâu đó vẫn có niềm đam mê, vẫn có các chị các mẹ muốn tự tay mình may cho chồng, cho con, cho người yêu một bộ quần áo đẹp hay một bộ rèm cửa trang trí ngôi nhà thân yêu, điều đó khiến các chị thấy hạnh phúc!Mời bạn đón đọc. ",75.0, 19 x 26.5 cm , 01/2016 ,, Việt Thư , NXB Hồng Đức ,240.0, Triệu Thị Chơi , Bìa mềm 
